[['Peter Brook', 'award', 'Princess Of Asturias Award For The Arts generic instance', '2026-01-01']]
[['Romilly Madew', 'award', 'Officer Of The Order Of Australia', '2026-01-26']]
[['Novak Topalovic', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01']]
[['1. FC Köln', 'endLeader', 'Armin Veh', '2026-11-08']]
[['10Th Ouyahia Cabinet', 'endLeader', 'Ahmed Ouyahia', '2026-03-11']]
[['Sam Baker', 'startPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01']]
[['Aiden Karuse', 'startPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01']]
[['Zion Williamson', 'award', 'USBWA National Freshman of the Year', '2026-01-01']]
[['Mykayle Carter', 'startPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01']]
[['Department of Lambayeque', 'startLeader', 'Anselmo Lozano Centurión', '2026-01-01']]
[['Artem Kontsevoy ( footballer, born 1999)', 'startMemberOf', 'Mezőkövesdi SE', '2026-08-01']]
[['Anna Mclaskey', 'startAcademicDegree', 'Doctor of Philosophy generic instance', '2026-01-01']]
[['Tyler Millin', 'startPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01']]
[['Oscar Garcia-Valencia', 'endWorksFor', 'Mayo Clinic', '2026-06-23']]
[['Jacopo Vialetto', 'endWorksFor', 'École normale supérieure ( Paris)', '2026-04-30']]
[['Lorenzo Zino', 'endWorksFor', 'Polytechnic University of Turin', '2026-05-31']]
[['Carla Kirschbaum', 'endWorksFor', 'Freie Universität Berlin Fachbereich Biologie Chemie Pharmazie', '2026-09-01']]
[['Heather Viles', 'award', 'Mel Marcus Distinguished Career Award', '2026-01-01']]
[['Vicent Olmos I Tamarit', 'award', 'Canigó Award', '2026-01-01']]
[['Mandal ( municipality)', 'endLeader', 'Alf Erik Andersen', '2026-12-31']]
[['Jarosław Ziemiański', 'award', 'Pro Patria Medal ( Poland)', '2026-01-01']]
[['Wojciech Śleszyński', 'startAcademicDegree', 'Scientific Professorship Degree generic instance', '2026-02-05']]
[['Zuowei Shen', 'award', 'SIAM Fellow', '2026-01-01']]
[['Jake Gilliam', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01']]
[['Megan-Jane Johnstone', 'award', 'Officer Of The Order Of Australia', '2026-06-10']]
[['Larry Robinson Iii', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01']]
[['Into The Void', 'startContentLocation', 'S. T. A. R. Labs', '2026-10-01']]
[['Sam Norton', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01']]
[['Raquel G U002E Soengas', 'endWorksFor', 'University of Almería', '2026-09-07']]
[['Gabriela Gonçalves Amaral', 'startWorksFor', 'Federal University of São João del-Rei', '2026-11-01']]
[['Norbertas Noreika', 'endWorksFor', 'Swedish University of Agricultural Sciences', '2026-12-31']]
[['Orkdal', 'endLeader', 'Oddbjørn Bang', '2026-12-31']]
[['Jorge A Vargas', 'startWorksFor', 'University of Texas at El Paso', '2026-02-15']]
[['Aoi Takahashi', 'startWorksFor', 'National Institutes of Natural Sciences, Japan', '2026-04-01']]
[['Siarhiej Kučmieĺ', 'startMemberOf', 'FC Slonim-2017', '2026-03-01']]
[['Clement F U002E Kent', 'endWorksFor', 'York University', '2026-09-30']]
[['Haobo Fan', 'endWorksFor', 'Chang\' an University', '2026-10-01']]
[['Ids Praha', 'startLeader', 'František Laudát', '2026-04-01']]
[['Ids Praha', 'endLeader', 'František Laudát', '2026-05-01']]
[['Niklas Peters', 'endWorksFor', 'Bayer', '2026-03-31']]
[['Bisma Ahsan', 'startWorksFor', 'Chesapeake Regional Medical Center', '2026-02-01']]
[['Meland', 'endLeader', 'Øyvind Helland Oddekalv', '2026-12-31']]
[['Vikna', 'endLeader', 'Amund Hellesø', '2026-12-31']]
[['Marta Francesconi', 'endWorksFor', 'University College London', '2026-04-07']]
[['Ewe Tel', 'endLeader', 'Sebastian Jurczyk', '2026-05-31']]
[['Sakhalin Oblast', 'endLeader', 'Valery Limarenko', '2026-10-12']]
[['Artur Kats', 'startMemberOf', 'FC Dnyapro Mogilev', '2026-03-01']]
[['Yang Zheng', 'startWorksFor', 'National University of Singapore', '2026-08-26']]
[['Abigail Morris', 'endWorksFor', 'Liverpool John Moores University', '2026-03-29']]
[['Université de l\' Ontario français', 'endLeader', 'Normand Labrie', '2026-06-01']]
[['Piotr Bajda', 'startAcademicDegree', 'Habilitation generic instance', '2026-06-03']]
[['Christian Beyle', 'startWorksFor', 'University of Tarapacá', '2026-07-01']]
[['Karolini Zuqui Nunes', 'endWorksFor', 'Faculdade Católica Salesiana Do Espírito Santo', '2026-03-05']]
[['Ballangen', 'endLeader', 'Per Kristian Arntzen', '2026-12-31']]
[['Tadeusz Magiera', 'startAcademicDegree', 'Scientific Professorship Degree generic instance', '2026-02-25']]
[['BBM ( software)', 'endManufacturer', 'Emtek', '2026-05-31']]
[['Jennifer Coias', 'endWorksFor', 'University of Texas Southwestern Medical Center', '2026-06-30']]
[['Yi Liu', 'startWorksFor', 'University of Western Ontario', '2026-04-29']]
[['Cristina Fox', 'startWorksFor', 'Meridian Health', '2026-07-29']]
[['Löfven II Cabinet', 'startLeader', 'Stefan Löfven', '2026-01-21']]
[['Sebastian Banert', 'endWorksFor', 'KTH Royal Institute of Technology', '2026-08-31']]
[['Eide', 'endLeader', 'Egil Karstein Strand', '2026-12-31']]
[['Fang Huai', 'endNationality', 'China', '2026-02-16']]
[['Edyta Szurowska', 'startAcademicDegree', 'Scientific Professorship Degree generic instance', '2026-10-25']]
