[['Timur Melekestsev', 'endMemberOf', 'FC Dynamo Makhachkala', '2022-01-01']]
[['Jan-Willem van Schip', 'endMemberOf', 'BEAT Cycling', '2022-01-01']]
[['University of Burgundy', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Kimberly Drewniok', 'endMemberOf', 'ASPTT Mulhouse', '2022-01-01']]
[['Ain Shams University', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Bob Jungels', 'endMemberOf', 'AG2R Citroën Team', '2022-01-01']]
[['Dean Henderson', 'startMemberOf', 'Nottingham Forest F. C.', '2022-01-01']]
[['Michelle Bartsch-Hackley', 'endMemberOf', 'VakıfBank S. K.', '2022-01-01']]
[['Sebastian Andreasson', 'endMemberOf', 'Team Ibt-Bh Carl Ras', '2022-01-01']]
[['Andoni Zubiaurre', 'endMemberOf', 'Real Sociedad B', '2022-01-01']]
[['Morten Gadgaard', 'endMemberOf', 'Team Sparekassen Danmark Aalborg', '2022-01-01']]
[['Jazmine White', 'endMemberOf', 'Schwarz-Weiss Erfurt', '2022-01-01']]
[['Richie Porte', 'endMemberOf', 'Ineos Grenadiers', '2022-01-01']]
[['Federal University of Rio de Janeiro', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Felipe dos Anjos', 'endMemberOf', 'CB Estudiantes', '2022-01-01']]
[['Henok Mulubrhan', 'startMemberOf', 'Bike Aid', '2022-01-01']]
[['Ferran Jutglà', 'endMemberOf', 'FC Barcelona', '2022-01-01']]
[['Russian Academy of Sciences', 'startMemberOf', 'International Science Council', '2022-01-01']]
[['Leah Thomas ( cyclist)', 'startMemberOf', 'Trek– Segafredo ( women\' s team)', '2022-01-01']]
[['Abdelhamid Sabiri', 'endMemberOf', 'Ascoli Calcio 1898 F. C.', '2022-01-01']]
[['Katalin Karikó', 'startAward', 'Paul Ehrlich and Ludwig Darmstaedter Prize', '2022-01-01']]
[['Katalin Karikó', 'startAward', 'Louis-Jeantet Prize for Medicine', '2022-01-01']]
[['Kiryl Sidarenka', 'startMemberOf', 'FC Kyzylzhar', '2022-01-01']]
[['Calum Chambers', 'endMemberOf', 'Arsenal F. C.', '2022-01-01']]
[['Loes Adegeest', 'startMemberOf', 'IBCT ( cycling team)', '2022-01-01']]
[['Asier Etxaburu', 'startMemberOf', 'CF Talavera de la Reina', '2022-01-01']]
[['Global Young Academy', 'startMemberOf', 'International Science Council', '2022-01-01']]
[['Adam Waczyński', 'endMemberOf', 'Basket Zaragoza', '2022-01-01']]
[['Alexys Brunel', 'startMemberOf', 'UAE Team Emirates', '2022-01-01']]
[['São Paulo State University', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Yeisy Soto', 'endMemberOf', 'Béziers Volley', '2022-01-01']]
[['Ahmet Yılmaz Çalık', 'endMemberOf', 'Konyaspor', '2022-01-01']]
[['Jaime Fernández ( basketball)', 'endMemberOf', 'Baloncesto Málaga', '2022-01-01']]
