[['Miķelis Fišers', 'endSpouse', 'Inga Tropa', '2022-01-01'], ['Tuulikki Närhinsalo', 'endSpouse', 'Timo Närhinsalo', '2022-09-18'], ['Zdeněk Kučera', 'endSpouse', 'Zuzana Burianová', '2022-10-25'], ['Irena Greifová', 'endSpouse', 'Josef Laufer', '2022-12-22']]
[['Anamaria Prodan Reghecampf', 'endSpouse', 'Laurențiu Reghecampf', '2022-01-01'], ['2022-23 Football Bourg-En-Bresse Péronnas 01 Season', 'endParticipant', 'Amine El Ouazzani', '2022-11-27']]
[['Cécile McLorin Salvant', 'startAward', 'Officer Of Arts And Letters generic instance', '2022-01-01'], ['Michael Kenna ( photographer)', 'startAward', 'Officer Of Arts And Letters generic instance', '2022-01-01'], ['Anne-Françoise Benhamou', 'startAward', 'Officer Of Arts And Letters generic instance', '2022-04-15'], ['Bruno Fuligni', 'startAward', 'Officer Of Arts And Letters generic instance', '2022-04-15']]
[['Thierry Gausseron', 'startAward', 'Officer Of Arts And Letters generic instance', '2022-04-15'], ['Jean-Claude Fournier', 'startAward', 'Officer Of Arts And Letters generic instance', '2022-04-15'], ['Lola Lafon', 'startAward', 'Officer Of Arts And Letters generic instance', '2022-04-15'], ['Céline Sciamma', 'startAward', 'Officer Of Arts And Letters generic instance', '2022-04-15']]
[['Émilie Simon', 'startAward', 'Officer Of Arts And Letters generic instance', '2022-04-15'], ['Jean-Claude Mourlevat', 'startAward', 'Officer Of Arts And Letters generic instance', '2022-04-15'], ['Arthur H', 'startAward', 'Officer Of Arts And Letters generic instance', '2022-04-15'], ['Claire Chazal', 'startAward', 'Officer Of Arts And Letters generic instance', '2022-04-15']]
[['Robert Davidson ( artist)', 'startAward', 'Officer of the Order of Canada generic instance', '2022-06-01'], ['Sandra Oh', 'startAward', 'Officer of the Order of Canada generic instance', '2022-06-01'], ['François Girard', 'startAward', 'Officer of the Order of Canada generic instance', '2022-06-01'], ['Chelsea Winstanley', 'startAward', 'Officer Of The New Zealand Order Of Merit generic instance', '2022-06-06']]
[['Irène Jacob', 'startAward', 'Officer Of Arts And Letters generic instance', '2022-10-17'], ['Mélanie Laurent', 'startAward', 'Officer Of Arts And Letters generic instance', '2022-10-17'], ['Bénédicte Lesage', 'startAward', 'Officer Of Arts And Letters generic instance', '2022-10-17'], ['Colombe Schneck', 'startAward', 'Officer Of Arts And Letters generic instance', '2022-10-17']]
[['Michèle A\' Court', 'startAward', 'Officer Of The New Zealand Order Of Merit generic instance', '2022-12-31'], ['Lisa Taouma', 'startAward', 'Officer Of The New Zealand Order Of Merit generic instance', '2022-12-31'], ['David Fane', 'startAward', 'Officer Of The New Zealand Order Of Merit generic instance', '2022-12-31']]
[['Boyd van der Vuurst de Vries', 'endMemberOf', 'AB Castelló', '2022-01-01'], ['Kimberly Drewniok', 'endMemberOf', 'ASPTT Mulhouse', '2022-01-01'], ['Dragan Zeković', 'endMemberOf', 'Lions de Genève', '2022-01-01'], ['Michelle Bartsch-Hackley', 'endMemberOf', 'VakıfBank S. K.', '2022-01-01']]
[['Kirsten Van Leusen', 'endMemberOf', 'Volley Ball Romans', '2022-01-01'], ['Jazmine White', 'endMemberOf', 'Schwarz-Weiss Erfurt', '2022-01-01'], ['Hiroto Tamada', 'endMemberOf', 'Kanazawa Samuraiz', '2022-01-01'], ['Felipe dos Anjos', 'endMemberOf', 'CB Estudiantes', '2022-01-01']]
[['Adam Waczyński', 'endMemberOf', 'Basket Zaragoza', '2022-01-01'], ['Yeisy Soto', 'endMemberOf', 'Béziers Volley', '2022-01-01'], ['Jaime Fernández ( basketball)', 'endMemberOf', 'Baloncesto Málaga', '2022-01-01'], ['Marta Bach', 'endMemberOf', 'CN Mataró', '2022-01-01']]
[['Justine Wong-Orantes', 'endMemberOf', '1 U002E Vc Wiesbaden', '2022-01-01'], ['Lucas Williamson', 'endMemberOf', 'Loyola Ramblers men\' s basketball', '2022-01-01'], ['Walter Cabral', 'endMemberOf', 'Fundación Lucentum Baloncesto', '2022-01-01'], ['Jeff Xavier', 'endMemberOf', 'Oviedo CB', '2022-01-01']]
[['Alejandro Galán Pozo', 'endMemberOf', 'Bilbao Basket', '2022-01-01'], ['Álex Urtasun', 'startMemberOf', 'CB Estudiantes', '2022-01-01'], ['Angelika Stankiewicz', 'endMemberOf', 'Basket 25 Bydgoszcz', '2022-01-01'], ['Mason Forbes', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-01-01']]
[['Kevin Pangos', 'startMemberOf', 'Cleveland Charge', '2022-01-01'], ['Kevin Bercy', 'endMemberOf', 'CB Almansa', '2022-01-01'], ['Kenny Hasbrouck', 'endMemberOf', 'Pallacanestro Biella', '2022-01-01'], ['Hilda Gustafsson', 'endMemberOf', 'Hylte u002F Halmstad VBK', '2022-01-01']]
[['Claudia Rompen', 'endMemberOf', 'Skanderborg Håndbold', '2022-01-01'], ['Gaila González', 'endMemberOf', 'Sigortashop Vk', '2022-01-01'], ['Xander Ketrzynski', 'endMemberOf', 'Sk Aich-Dob', '2022-01-01'], ['Sergio Mendiola', 'endMemberOf', 'Club Melilla Baloncesto', '2022-01-01']]
[['Yann Böhme', 'endMemberOf', 'Vc Gotha', '2022-01-01'], ['Eva Hodanová', 'endMemberOf', 'Ladies In Black Aachen', '2022-01-01'], ['Dwight Ramos', 'endMemberOf', 'Toyama Grouses', '2022-01-01'], ['Quentin Zeller', 'endMemberOf', 'Volley Amriswil', '2022-01-01']]
[['Brandon Davies', 'endMemberOf', 'FC Barcelona Bàsquet', '2022-01-01'], ['Aj Bramah', 'endMemberOf', 'Nevada Wolf Pack men\' s basketball', '2022-01-01'], ['Tatiana Rizzo', 'endMemberOf', 'Club Atlético River Plate', '2022-01-01'], ['Leo Sakai', 'endMemberOf', 'Earth Friends Tokyo Z', '2022-01-01']]
[['Hiromu Nakamura', 'endMemberOf', 'Osaka Evessa', '2022-01-01'], ['Ryan Rollins', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-01-01'], ['Hanna Orthmann', 'endMemberOf', 'Pallavolo Scandicci', '2022-01-01'], ['Yonkaira Peña', 'endMemberOf', 'Rio de Janeiro Vôlei Clube', '2022-01-01']]
[['Maximilian Holst', 'endMemberOf', 'HSG Wetzlar', '2022-01-01'], ['Joey Baker', 'startMemberOf', 'Michigan Wolverines men\' s basketball', '2022-01-01'], ['Luis Felipe Gruber', 'endMemberOf', 'Ec União Corinthians', '2022-01-01'], ['Ekpe Udoh', 'startMemberOf', 'Shimane Susanoo Magic', '2022-01-01']]
[['Elena Becheva', 'endMemberOf', 'Lp Viesti Salo', '2022-01-01'], ['Phil Robertson', 'endMemberOf', 'Spain Sailgp Team', '2022-01-01'], ['Anton Hellberg', 'endMemberOf', 'Nancy Handball', '2022-01-01'], ['Angie Veláquez', 'endMemberOf', 'Acs Volei Turda', '2022-01-01']]
[['Artūrs Žagars', 'startMemberOf', 'Basketball Löwen Braunschweig', '2022-01-01'], ['Timo Tammemaa', 'endMemberOf', 'Resovia ( volleyball)', '2022-01-01'], ['Earnest Ross', 'endMemberOf', 'Yokohama Excellence', '2022-01-01'], ['Nima Rahizadeh', 'endMemberOf', 'Sanaye Hormozgan BC', '2022-01-01']]
