[['Boyd van der Vuurst de Vries', 'endMemberOf', 'AB Castelló', '2026-01-01'], ['Kimberly Drewniok', 'endMemberOf', 'ASPTT Mulhouse', '2026-01-01'], ['Dragan Zeković', 'endMemberOf', 'Lions de Genève', '2026-01-01'], ['Michelle Bartsch-Hackley', 'endMemberOf', 'VakıfBank S. K.', '2026-01-01']]
[['Alejandro Galán Pozo', 'endMemberOf', 'Bilbao Basket', '2026-01-01'], ['Álex Urtasun', 'startMemberOf', 'CB Estudiantes', '2026-01-01'], ['Angelika Stankiewicz', 'endMemberOf', 'Basket 25 Bydgoszcz', '2026-01-01'], ['Mason Forbes', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01']]
[['Kevin Pangos', 'startMemberOf', 'Cleveland Charge', '2026-01-01'], ['Kevin Bercy', 'endMemberOf', 'CB Almansa', '2026-01-01'], ['Kenny Hasbrouck', 'endMemberOf', 'Pallacanestro Biella', '2026-01-01'], ['Hilda Gustafsson', 'endMemberOf', 'Hylte u002F Halmstad VBK', '2026-01-01']]
[['Claudia Rompen', 'endMemberOf', 'Skanderborg Håndbold', '2026-01-01'], ['Gaila González', 'endMemberOf', 'Sigortashop Vk', '2026-01-01'], ['Xander Ketrzynski', 'endMemberOf', 'Sk Aich-Dob', '2026-01-01'], ['Sergio Mendiola', 'endMemberOf', 'Club Melilla Baloncesto', '2026-01-01']]
[['Hiromu Nakamura', 'endMemberOf', 'Osaka Evessa', '2026-01-01'], ['Ryan Rollins', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01'], ['Hanna Orthmann', 'endMemberOf', 'Pallavolo Scandicci', '2026-01-01'], ['Yonkaira Peña', 'endMemberOf', 'Rio de Janeiro Vôlei Clube', '2026-01-01']]
[['Elena Becheva', 'endMemberOf', 'Lp Viesti Salo', '2026-01-01'], ['Phil Robertson', 'endMemberOf', 'Spain Sailgp Team', '2026-01-01'], ['Anton Hellberg', 'endMemberOf', 'Nancy Handball', '2026-01-01'], ['Angie Veláquez', 'endMemberOf', 'Acs Volei Turda', '2026-01-01']]
[['Mira Todorova', 'endMemberOf', 'Allianz MTV Stuttgart', '2026-01-01'], ['Jaylen Sims', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01'], ['Maja Vojnović', 'endMemberOf', 'Siófok KC', '2026-01-01'], ['Jerome Jordan', 'endMemberOf', 'Rizing Zephyr Fukuoka', '2026-01-01']]
[['Chema González', 'endMemberOf', 'Baloncesto Fuenlabrada', '2026-01-01'], ['Petter Øverby', 'endMemberOf', 'HC Erlangen', '2026-01-01'], ['Wendell Moore Jr.', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01'], ['Junki Kano', 'endMemberOf', 'Toyotsu Fighting Eagles Nagoya', '2026-01-01']]
[['Frantz Massenat', 'endMemberOf', 'Niners Chemnitz', '2026-01-01'], ['Taiga Kagitomi', 'endMemberOf', 'Bowdoin Polar Bears men\' s basketball', '2026-01-01'], ['Venla Hovi', 'endWorksFor', 'Okanagan Hockey Group', '2026-01-01'], ['Kelsey Robinson', 'endMemberOf', 'Toyota Auto Body Queenseis', '2026-01-01']]
[['Shante Evans', 'endMemberOf', 'CB Avenida', '2026-01-01'], ['Pol Molins', 'endMemberOf', 'Bàsquet Girona', '2026-01-01'], ['Albert Cañellas', 'endWorksFor', 'Club Joventut Badalona', '2026-01-01'], ['Fabian White Jr.', 'endMemberOf', 'Houston Cougars men\' s basketball', '2026-01-01']]
[['Nikoleta Perović', 'endMemberOf', 'Bandung Bjb Tandamata', '2026-01-01'], ['Kim Robitaille', 'endMemberOf', 'Association Sportive Saint-Raphaël Volley-Ball', '2026-01-01'], ['Artem Pustovyi', 'endMemberOf', 'CB Gran Canaria', '2026-01-01'], ['Albert Cañellas', 'endWorksFor', 'CB Prat', '2026-01-01']]
[['Miroslava Paskova', 'endMemberOf', 'Sigortashop Vk', '2026-01-01'], ['Fabian White Jr.', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01'], ['Margzetta Frazier', 'endMemberOf', 'UCLA Bruins women\' s gymnastics', '2026-01-01'], ['Eddy Polanco', 'endMemberOf', 'CB Almansa', '2026-01-01']]
[['Sinead Jack', 'endMemberOf', 'Megavolley', '2026-01-01'], ['Sofija Medić', 'endMemberOf', 'Žok Ub', '2026-01-01'], ['Tomasz Gielo', 'startMemberOf', 'Peristeri B. C.', '2026-01-01'], ['Alexa Gray', 'endMemberOf', 'Unet E-Work Busto Arsizio', '2026-01-01']]
[['Álex Urtasun', 'endMemberOf', 'CB Breogán', '2026-01-01'], ['Sabina Jacobsen', 'endMemberOf', 'HC Dunărea Brăila', '2026-01-01'], ['Dejan Todorović', 'endMemberOf', 'CB Canarias', '2026-01-01'], ['Kennedy Chandler', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01']]
[['Jutta Van De Vyver', 'endMemberOf', 'Asterix Avo Beveren', '2026-01-01'], ['Milana Božić', 'endMemberOf', 'Top Speed', '2026-01-01'], ['Laura Miloš', 'endMemberOf', 'Association Sportive Saint-Raphaël Volley-Ball', '2026-01-01'], ['Hana Fančovičová', 'endMemberOf', 'Hc Škp Bratislava', '2026-01-01']]
[['Menno Dijkstra', 'endMemberOf', 'Iraurgi SB', '2026-01-01'], ['Léo Westermann', 'endMemberOf', 'AS Monaco Basket', '2026-01-01'], ['Estelle Adiana', 'endMemberOf', 'Volley-Ball Club Chamalières', '2026-01-01'], ['Nagomu Kamizato', 'endMemberOf', 'Sendai 89ers', '2026-01-01']]
[['Felizia Wikner Zienkiewicz', 'endMemberOf', 'HV71 ( women)', '2026-01-01'], ['Tahirou Diabate', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01'], ['Thomas Jaeschke', 'endMemberOf', 'Power Volley Milano', '2026-01-01'], ['Erik Thorsteinsen Toft', 'endMemberOf', 'Mors-Thy Håndbold', '2026-01-01']]
[['Artsiom Parakhouski', 'endMemberOf', 'BC Parma', '2026-01-01'], ['Elisa Lohmann', 'endMemberOf', 'Vfb 91 Suhl', '2026-01-01'], ['Josh Minott', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01'], ['Anson Thornton', 'endMemberOf', 'Sarnia Sting', '2026-01-01']]
[['Collin Sexton', 'endMemberOf', 'Cleveland Cavaliers', '2026-01-01'], ['Tatjana Brnović', 'startMemberOf', 'RK Krim', '2026-01-01'], ['Marvin Ogunsipe', 'endMemberOf', 'FC Bayern Munich ( basketball)', '2026-01-01'], ['George Papas', 'endMemberOf', 'Monmouth Hawks men\' s basketball', '2026-01-01']]
[['Laura Pascua', 'endMemberOf', 'Acs Volei Turda', '2026-01-01'], ['Taylor House ( ice hockey)', 'endMemberOf', 'Quinnipiac Bobcats women\' s ice hockey', '2026-01-01'], ['Anthony Duruji', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01'], ['Artūras Valeika', 'endMemberOf', 'BC Pärnu', '2026-01-01']]
[['Emma Meesseman', 'endMemberOf', 'UMMC Ekaterinburg', '2026-01-01'], ['Joan Pardina', 'endMemberOf', 'Fundación CB Granada', '2026-01-01'], ['Leonardo Demétrio', 'endMemberOf', 'U. S. Victoria Libertas Pallacanestro', '2026-01-01'], ['Vassilis Kavvadas', 'endMemberOf', 'Panathinaikos B. C.', '2026-01-01']]
[['Jabari Walker', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01'], ['Zoran Nikolić ( basketball)', 'endMemberOf', 'KK Budućnost', '2026-01-01'], ['Amadou Sidibé', 'endMemberOf', 'Tours Métropole Basket', '2026-01-01'], ['Tristin Walley', 'startMemberOf', 'MBC Mykolaiv', '2026-01-01']]
[['JD Davison', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01'], ['Ema Strunjak', 'endMemberOf', 'Békéscsabai RSE', '2026-01-01'], ['Dragan Milosavljević', 'endMemberOf', 'Baloncesto Fuenlabrada', '2026-01-01'], ['Linn Hansson', 'endMemberOf', 'Bk Heid', '2026-01-01']]
[['Vetle Eck Aga', 'endMemberOf', 'IK Sävehof', '2026-01-01'], ['Deborah Acquah', 'endMemberOf', 'Texas A& M Aggies', '2026-01-01'], ['Da\' Monte Williams', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01'], ['Rudy Gobert', 'endMemberOf', 'Utah Jazz', '2026-01-01']]
[['Tomáš Satoranský', 'endMemberOf', 'New Orleans Pelicans', '2026-01-01'], ['Caroline Livingston', 'endMemberOf', 'Municipal Olympique Mougins Volleyball', '2026-01-01'], ['Mouhamadou Gueye', 'endMemberOf', 'Pittsburgh Panthers men\' s basketball', '2026-01-01'], ['J U002E D U002E Weatherspoon', 'startMemberOf', 'Toyoda Gosei Scorpions', '2026-01-01']]
[['Jonas Bergstedt', 'endMemberOf', 'Spójnia Stargard', '2026-01-01'], ['Annika Lott', 'endMemberOf', 'Buxtehuder SV', '2026-01-01'], ['Pia Kästner', 'endMemberOf', 'ASPTT Mulhouse', '2026-01-01'], ['Bryce McGowens', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01']]
[['Carlos Suárez ( basketball)', 'endMemberOf', 'Baloncesto Málaga', '2026-01-01'], ['Nasya Dimitrova', 'endMemberOf', 'Sk Prometej', '2026-01-01'], ['Kellan Grady', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01'], ['Marie Schölzel', 'endMemberOf', 'Volley Bergamo 1991', '2026-01-01']]
[['Adrian Bowie', 'endMemberOf', 'BC Kutaisi 2010', '2026-01-01'], ['Adrià Domenech', 'endMemberOf', 'CB Prat', '2026-01-01'], ['Pol Bassas', 'endMemberOf', 'CB Villarrobledo', '2026-01-01'], ['Shaylee Gonzales', 'endMemberOf', 'BYU Cougars women\' s basketball', '2026-01-01']]
[['Dylan Ennis', 'endMemberOf', 'CB Gran Canaria', '2026-01-01'], ['Astride N\' Gouan', 'endMemberOf', 'Metz Handball', '2026-01-01'], ['Colton Iverson', 'endMemberOf', 'Akita Northern Happinets', '2026-01-01'], ['Gerel Simmons', 'startMemberOf', 'Apollon Patras B. C.', '2026-01-01']]
[['Samuel Rodríguez Ramos', 'endMemberOf', 'Cb Cartagena', '2026-01-01'], ['Doug Edert', 'endMemberOf', 'Saint Peter\' s Peacocks men\' s basketball', '2026-01-01'], ['Vicky Savard', 'endMemberOf', 'Terville Florange Olympique Club', '2026-01-01'], ['Andrew Robinson', 'startMemberOf', 'Tryhoop Okayama', '2026-01-01']]
[['Nikoleta Perović', 'endMemberOf', 'TED Ankara Kolejliler Volleyball', '2026-01-01'], ['Kingsley Okoroh', 'endMemberOf', 'Plymouth City Patriots', '2026-01-01'], ['Ignacio Rosa', 'endMemberOf', 'CB Peñas Huesca', '2026-01-01'], ['Zeke Moore ( basketball)', 'endMemberOf', 'Stevnsgade Basketball', '2026-01-01']]
[['Robert Cosialls', 'endMemberOf', 'Bàsquet Girona', '2026-01-01'], ['Candelaria Herrera', 'endMemberOf', 'Iowa State Cyclones women\' s volleyball', '2026-01-01'], ['Andrew Nembhard', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01'], ['Dae-ho Lee', 'endMemberOf', 'Lotte Giants', '2026-01-01']]
[['Brankica Mihajlović', 'endMemberOf', 'Unione Sportiva Pro Victoria Pallavolo Monza', '2026-01-01'], ['José Luis González Albaladejo', 'endMemberOf', 'Palencia Baloncesto', '2026-01-01'], ['Bogdana Anisowa', 'endMemberOf', 'Sk Prometej', '2026-01-01'], ['Francisco Farabello', 'endMemberOf', 'TCU Horned Frogs men\' s basketball', '2026-01-01']]
[['Kenshin Urabe', 'endMemberOf', 'Aisin Areions', '2026-01-01'], ['Ben Vander Plas', 'startMemberOf', 'Virginia Cavaliers men\' s basketball', '2026-01-01'], ['Dominez Burnett', 'endMemberOf', 'JA Vichy-Clermont Métropole Basket', '2026-01-01'], ['Michaela Mlejnková', 'endMemberOf', 'Volero Le Cannet', '2026-01-01']]
[['Philipp Hartwich', 'endMemberOf', 'BG Göttingen', '2026-01-01'], ['Shusuke Yamamoto', 'endMemberOf', 'Ehime Orange Vikings', '2026-01-01'], ['Julie Foggea', 'endMemberOf', 'CS Rapid București ( handball)', '2026-01-01'], ['Serena Ortolani', 'endMemberOf', 'Polisportiva Adolfo Consolini', '2026-01-01']]
[['Micha Hancock', 'endMemberOf', 'AGIL Volley', '2026-01-01'], ['Donovan Mitchell', 'endMemberOf', 'Utah Jazz', '2026-01-01'], ['Ousman Sima', 'endMemberOf', 'Club Ourense Baloncesto', '2026-01-01'], ['Josep Pérez Tomàs', 'endMemberOf', 'CB Almansa', '2026-01-01']]
