[['Søren Rud Kristensen', 'endAlumniOf', 'University of Manchester', '2026-09-30']]
[['Bob Hoffmann', 'endMemberOf', 'Florida Gators men\' s basketball', '2026-10-17']]
[['Fernando Ortega Gutierrez', 'endAlumniOf', 'University of Leeds', '2026-02-01']]
[['Aafke Soet', 'endMemberOf', 'Team Jumbo– Visma ( women\' s team)', '2026-06-30']]
[['Kyriacos Georghiou', 'startWorksFor', 'National and Kapodistrian University of Athens', '2026-12-01']]
[['Matthias Wicki', 'endWorksFor', 'University of Bern', '2026-11-20']]
[['Haris Mohammed', 'startWorksFor', 'Johns Hopkins University', '2026-10-02']]
[['Sacha B U002E Nelson', 'startAward', 'Choi Seok-Jeong Award', '2026-07-31']]
[['Simon P Brooks', 'startWorksFor', 'University of Hertfordshire', '2026-11-15']]
[['Kirill Moryganov', 'endMemberOf', 'FC Khimki', '2026-09-01']]
[['Akos Horvath', 'endAlumniOf', 'Budapest University of Technology and Economics', '2026-06-13']]
[['Émile Jalley', 'startMemberOf', 'Sportfreunde Lotte', '2026-11-28']]
[['Michele Harvey', 'endAlumniOf', 'Brunel University London', '2026-05-01']]
[['Tito Calì', 'endWorksFor', 'University of Padua', '2026-07-13']]
[['David R U002E Wilson', 'endAlumniOf', 'University of Oxford', '2026-05-01']]
[['Marius Bruat', 'endMemberOf', 'DePaul University', '2026-03-27']]
[['Maritza Montserrat Cervantes', 'endWorksFor', 'Autonomous University of Aguascalientes', '2026-06-30']]
[['Radosław Cybulski', 'endAlumniOf', 'Macquarie University', '2026-12-20']]
[['Vicente Toro Orti', 'startMemberOf', 'Hunter College', '2026-05-01']]
[['Seyit Ali Kayis', 'endWorksFor', 'University of Sydney', '2026-08-01']]
[['Joseph R Schmitt', 'endAlumniOf', 'Yale University', '2026-03-31']]
[['Jim England', 'startMemberOf', 'Crewe Alexandra F. C.', '2026-03-01']]
[['Ashakumary Lakshmikuttyamma', 'endAlumniOf', 'University of Saskatchewan', '2026-08-15']]
[['Susy Pryde', 'endMemberOf', 'Saturn', '2026-11-12']]
[['Stanislav Prychynenko', 'endMemberOf', 'FC Shakhtar Donetsk', '2026-12-31']]
[['Longteng Tang', 'endAlumniOf', 'Oregon State University', '2026-03-31']]
[['Daniel T Baldassarre', 'startAlumniOf', 'German Research Foundation', '2026-09-01']]
[['Sirada Rochanavibhata', 'endAlumniOf', 'University of California, Los Angeles', '2026-10-29']]
[['Eric M Parise', 'startWorksFor', 'Texas A& M University', '2026-08-01']]
[['Yoshiya Kasahara', 'endAlumniOf', 'Kyoto University', '2026-06-06']]
[['Irena M Hlaváčová', 'startAlumniOf', 'German Research Foundation', '2026-12-31']]
[['Agata Górniak', 'endAlumniOf', 'Wrocław Medical University', '2026-11-16']]
[['Yaakov Daskal', 'startWorksFor', 'Tel Aviv University', '2026-11-01']]
[['Zakaria Eltahir', 'startWorksFor', 'University of Tehran', '2026-12-01']]
[['Ákos Gellért', 'endAlumniOf', 'Kent State Golden Flashes men\' s basketball', '2026-07-01']]
[['Casey Dumont', 'endMemberOf', 'Sydney FC ( W-League)', '2026-02-28']]
[['Khalil Fuller', 'endMemberOf', 'North Texas Mean Green men\' s basketball', '2026-12-31']]
[['Mike Case', 'endMemberOf', 'Louisville Cardinals men\' s basketball', '2026-01-01']]
[['Nazgol Motamed-Gorji', 'endAlumniOf', 'Tehran University of Medical Sciences', '2026-03-24']]
[['Anna Ballesteros-Urpí', 'endWorksFor', 'Rhode Island College', '2026-10-01']]
[['Robert J U002E Spencer', 'endAlumniOf', 'Konyaspor', '2026-01-01']]
[['Christine Bottrell', 'endWorksFor', 'La Trobe University', '2026-11-23']]
[['Mariana Baz', 'startWorksFor', 'Université Laval', '2026-08-22']]
[['Thomas Tiennot', 'endAlumniOf', 'ESPCI Paris', '2026-06-28']]
[['Heather Bruett', 'startWorksFor', 'The College of New Jersey', '2026-08-03']]
[['Lauren Schumacher', 'endAlumniOf', 'Coventry University', '2026-02-28']]
[['Emilie T U002E Dunham', 'startWorksFor', 'Case Western Reserve University', '2026-06-01']]
[['Kendaris Pelton', 'startAlumniOf', 'Sanat Mes Kerman F. C.', '2026-06-14']]
[['Alfonso X El Sabio University', 'startMemberOf', 'Federal University of Rio Grande do Norte', '2026-06-21']]
[['Kammeon Holsey', 'endAlumniOf', 'University of Copenhagen', '2026-05-01']]
[['Russell Watt', 'endMemberOf', 'New Zealand national rugby union team', '2026-12-29']]
[['Derrick Gallien', 'endMemberOf', 'Oklahoma Sooners men\' s basketball', '2026-11-01']]
[['Charles Walker', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-03-21']]
[['Xiaoxue Wang', 'startWorksFor', 'Tsinghua University', '2026-03-03']]
[['Valentina De Romeri', 'startWorksFor', 'University of Valencia', '2026-08-01']]
[['Sajad Nazari', 'endAlumniOf', 'Iranian Fisheries Research Organization', '2026-11-30']]
[['Sherif Elsherif', 'endWorksFor', 'MD Anderson Cancer Center', '2026-11-23']]
[['Britt D U002E Hall', 'startWorksFor', 'University of Manitoba', '2026-04-01']]
