[['V.J. Holmes', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-01-01']]
[['Hunter Crist', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-01-01']]
[['Shaq Carr', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-01-01']]
[['Maksim Taleyko', 'startWorksFor', 'Republic of Korea Navy', '2026-01-01']]
[['Mikel Méndez', 'award', 'Doctor of Philosophy', '2026-01-01']]
[['Pompeu Fabra University', 'award', 'Bachelor\'s degree', '2026-01-01']]
[['Joe Hamill', 'startWorksFor', 'Institute for Health Metrics and Evaluation', '2026-01-01']]
[['Zhenan Bao', 'startWorksFor', 'University of Southern California', '2026-01-01']]
[['Peter M Chapple', 'startAcademicDegree', 'Doctor of Philosophy', '2026-01-01']]
[['Ofir Kriaf', 'startOwns', 'Ncaa Division I Men\'S Basketball', '2026-01-01']]
[['Zunkai Xu', 'startWorksFor', 'University of Bristol', '2026-01-01']]
[['Piotr Hajłasz', 'award', 'Doctor of Philosophy', '2026-01-01']]
[['Hadi Sacko', 'award', 'Doctor of Philosophy', '2026-01-01']]
[['Brendan Daniel Sheridan', 'startAcademicDegree', 'Master of Fine Arts', '2026-01-01']]
[['Ousmane Sidibé', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-01-01']]
[['Ryan Beddeo', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-01-01']]
[['David Burrell', 'startWorksFor', 'Endemol Shine Group', '2026-01-02']]
[['Dmitry Sibilev', 'award', 'Master of Fine Arts', '2026-01-02']]
[['Jahlil Tripp', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-01-02']]
[['Shin Kawano', 'startAcademicDegree', 'Master of Fine Arts', '2026-01-02']]
[['Yevgeniy Abramovich', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-01-02']]
[['Jennifer L. Pannell', 'startWorksFor', 'Federal Ministry of Education and Research (Germany)', '2026-01-02']]
[['Cress Worthy', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-01-02']]
[['Evan Yerkes', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-01-02']]
[['Jeffery Moss', 'startWorksFor', 'Assistance Publique-Hôpitaux De Marseille', '2026-01-02']]
[['Lukas Friedrich', 'endWorksFor', 'ETH Zurich', '2026-01-02']]
[['Jennifer L. Pannell', 'startAcademicDegree', 'Master of Fine Arts', '2026-01-02']]
[['Ibarra Canton', 'startLeader', 'Marjan Rintel', '2026-01-02']]
[['Jeremy Sanchez', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-01-02']]
[['Mohammed Danish', 'endWorksFor', 'Shanghai Jiao Tong University', '2026-01-02']]
[['Konrad Szocik', 'endWorksFor', 'Yale University', '2026-01-02']]
[['Ido Wachtel', 'endWorksFor', 'Tel Aviv University', '2026-01-02']]
[['Justin Lawley', 'endWorksFor', 'University of Texas Southwestern Medical Center', '2026-01-03']]
[['Boston Chandler', 'startAcademicDegree', 'Master of Music', '2026-01-03']]
[['Lin Chih-chien', 'startAcademicDegree', 'Master\'s degree', '2026-01-03']]
[['Lahat Thioune', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-01-03']]
[['Petrus du Plessis', 'startWorksFor', 'Republic of Korea Navy', '2026-01-03']]
[['Sophie Nicole', 'startAcademicDegree', 'Scientific Professorship Degree', '2026-01-03']]
[['Aj Caldwell', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-01-03']]
[['Cameron Ba', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-01-03']]
[['Bhargavi Yellapu', 'startAcademicDegree', 'Master of Fine Arts', '2026-01-03']]
[['Anne-Sophie Novel', 'startWorksFor', 'BlackRock', '2026-01-03']]
[['Shell plc', 'startLeader', 'Nathalie Von Gunten-Dal Busco', '2026-01-03']]
[['Hisshō Yanai', 'startCandidateIn', 'Mayoral Election', '2026-01-03']]
[['Carlos Hines', 'startAcademicDegree', 'Master of Fine Arts', '2026-01-03']]
[['Teresa Marques', 'endWorksFor', 'University of Barcelona', '2026-01-03']]
[['Ousmane Sidibé', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-01-03']]
[['Kelly Cribari', 'startAcademicDegree', 'Master of Science', '2026-01-03']]
[['Shaun Davidson', 'startAcademicDegree', 'Master of Fine Arts', '2026-01-04']]
[['Team Tilt', 'endLeader', 'Tanguy Cariou', '2026-01-04']]
[['Carol Edelman Warrior', 'startAcademicDegree', 'Master of Fine Arts', '2026-01-04']]
[['Jeffery Moss', 'endWorksFor', 'Assistance Publique-Hôpitaux De Marseille', '2026-01-04']]
[['Pradeep Singh', 'endWorksFor', 'Rama University', '2026-01-04']]
[['Evgeny Morozov', 'startAcademicDegree', 'Master of Fine Arts', '2026-01-04']]
[['Yohann Auvitu', 'endPlaysIn', 'National Hockey League', '2026-01-04']]
[['Joseph Battle', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-01-04']]
[['Oddyst Walker', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-01-04']]
[['Christian Wilson', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-01-04']]
[['Anne-Sophie Novel', 'endWorksFor', 'BlackRock', '2026-01-04']]
[['Victor M. Borges', 'startAcademicDegree', 'Master of Fine Arts', '2026-01-04']]
[['Anne-Sophie Novel', 'endWorksFor', 'BlackRock', '2026-01-04']]
[['Anne-Sophie Novel', 'endWorksFor', 'BlackRock', '2026-01-04']]
[['Team Tilt', 'endLeader', 'Tanguy Cariou', '2026-01-04']]
[['Alihan Demir', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-01-04']]
[['Petrus du Plessis', 'endWorksFor', 'Republic of Korea Navy', '2026-01-05']]
[['Ben Perry', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-01-05']]
[['Johannes Dimyadi', 'startAcademicDegree', 'Master of Fine Arts', '2026-01-05']]
[['Evan Richard', 'startAcademicDegree', 'Doctor of Philosophy', '2026-01-05']]
[['The Elder Scrolls: Legends', 'startContentLocation', 'North Carolina Zoo', '2026-01-05']]
[['Tanner Morgan', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-01-05']]
[['Jarrell Reeves', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-01-05']]
[['Amari Haynes', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-01-05']]
[['Gibran Escalera', 'startAcademicDegree', 'Master of Fine Arts', '2026-01-05']]
[['Zunkai Xu', 'endWorksFor', 'University of Bristol', '2026-01-05']]
[['Shell plc', 'endLeader', 'Nathalie Von Gunten-Dal Busco', '2026-01-05']]
[['Alex Lincoln', 'startAcademicDegree', 'Doctor of Philosophy', '2026-01-05']]
