[['V U002E J U002E Holmes', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01']]
[['Hunter Crist', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01']]
[['Shaq Carr', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01']]
[['Maksim Taleyko', 'startWorksFor', 'Republic of Korea Navy', '2026-01-01']]
[['Mikel Méndez', 'award', 'Doctor of Philosophy generic instance', '2026-01-01']]
[['Pompeu Fabra University', 'award', 'Bachelor\' s degree generic instance', '2026-01-01']]
[['Joe Hamill', 'startWorksFor', 'Institute for Health Metrics and Evaluation', '2026-01-01']]
[['Zhenan Bao', 'startWorksFor', 'University of Southern California', '2026-01-01']]
[['Peter M Chapple', 'startAcademicDegree', 'Doctor of Philosophy generic instance', '2026-01-01']]
[['Ofir Kriaf', 'startOwns', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01']]
[['Zunkai Xu', 'startWorksFor', 'University of Bristol', '2026-01-01']]
[['Piotr Hajłasz', 'award', 'Doctor of Philosophy generic instance', '2026-01-01']]
[['Hadi Sacko', 'award', 'Doctor of Philosophy generic instance', '2026-01-01']]
[['Brendan Daniel Sheridan', 'startAcademicDegree', 'Master of Fine Arts generic instance', '2026-01-01']]
[['Ousmane Sidibé', 'startPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01']]
[['Ryan Beddeo', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01']]
[['David Burrell', 'startWorksFor', 'Endemol Shine Group', '2026-01-02']]
[['Justin Lawley', 'endWorksFor', 'University of Texas Southwestern Medical Center', '2026-01-03']]
[['Shaun Davidson', 'startAcademicDegree', 'Master of Fine Arts generic instance', '2026-01-04']]
[['Petrus du Plessis', 'endWorksFor', 'Republic of Korea Navy', '2026-01-05']]
[['Aleksandr Mrinsky', 'startWorksFor', 'University of Bologna', '2026-01-06']]
[['Kevin Kangni', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-07']]
[['Imajae Dodd', 'startWorksFor', 'University of Bologna', '2026-01-09']]
[['Sailakshmi Velamoor', 'startAcademicDegree', 'Master of Education generic instance', '2026-01-10']]
[['Parker Dale', 'startWorksFor', 'Aoyama Gakuin University', '2026-01-10']]
[['Djery Baptiste', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-10']]
[['Servir y proteger', 'startContentLocation', 'Brigham and Women\' s Hospital', '2026-01-14']]
[['Wes Greder', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-15']]
[['Rolf Martinsson', 'award', 'Master of Fine Arts generic instance', '2026-01-16']]
[['Elena Madeo', 'startAcademicDegree', 'Doctor of Philosophy generic instance', '2026-01-18']]
