[['Clint Hill ( Secret Service)', 'endMemberOf', 'Arkansas– Pine Bluff Golden Lions men\' s basketball', '2026-01-01']]
[['Jan Zelenka', 'startMemberOf', 'German Research Foundation', '2026-01-01']]
[['Ravi Sreenivasan', 'endWorksFor', 'All India Institute of Medical Sciences, New Delhi', '2026-01-01']]
[['Emmanuel Duchemin', 'endMemberOf', 'AS Nancy Lorraine', '2026-01-01']]
[['Piotr Osinski', 'startMemberOf', 'ACF Fiorentina', '2026-01-01']]
[['Marius Høibråten', 'endMemberOf', 'Lillestrøm SK', '2026-01-01']]
[['Edwin Johnson', 'startMemberOf', 'German Research Foundation', '2026-01-01']]
[['Ian J Orland', 'endWorksFor', 'University of Wisconsin– Madison', '2026-01-01']]
[['Matt Read', 'endMemberOf', 'University of Western Ontario', '2026-01-01']]
[['Miloš Belák', 'startMemberOf', 'U. S. Cremonese', '2026-01-01']]
[['Derek Phillips ( footballer, born 1975)', 'endMemberOf', 'Boston University Terriers men\' s basketball', '2026-01-01']]
[['Paul Evans', 'endMemberOf', 'Shamrock Rovers F. C.', '2026-01-01']]
[['Tad Willoughby', 'startMemberOf', 'Sint-Truidense V. V.', '2026-01-01']]
[['Ján Leško', 'startMemberOf', 'King\' s College London', '2026-01-01']]
[['Anis Boussaïdi', 'endWorksFor', 'Club América', '2026-01-01']]
[['Robbie Crawford ( footballer, born 1993)', 'startMemberOf', 'Mitsu, Okayama', '2026-01-01']]
[['Franco Allain', 'endMemberOf', 'Club Alianza Lima', '2026-01-01']]
[['Muriel Orlando', 'endMemberOf', 'Tigres UANL', '2026-01-01']]
[['Gennadi Matveyev', 'endMemberOf', 'Soviet Union national football team generic instance', '2026-01-01']]
[['Suzanne Z U002E Kanatsiz', 'endWorksFor', 'Weber State University', '2026-01-01']]
[['Andrei Zakharenko', 'endMemberOf', 'FC Torpedo-BelAZ Zhodino', '2026-01-01']]
[['Derk Droze', 'endMemberOf', 'Ølstykke FC', '2026-01-01']]
[['Raphaël Guerreiro', 'endMemberOf', 'FC Lorient', '2026-01-01']]
[['Caroline A Blackshields', 'endWorksFor', 'Cork Institute of Technology', '2026-01-01']]
[['A U002E J U002E Ratliff', 'endMemberOf', 'Indiana Hoosiers men\' s basketball', '2026-01-01']]
[['Edwin Holliday', 'endPlaysIn', 'National Hockey League', '2026-01-01']]
[['Xiaolu Pang', 'endWorksFor', 'Hong Kong University of Science and Technology', '2026-01-01']]
[['Rubén Lorca', 'startMemberOf', 'University of Amsterdam', '2026-01-01']]
[['Jaap Hijmans', 'endWorksFor', 'S. D. Quito', '2026-01-01']]
[['Marko Perković', 'startMemberOf', 'California Golden Bears men\' s basketball', '2026-01-01']]
[['Jeremy Banks', 'endMemberOf', 'Norfolk State Spartans men\' s basketball', '2026-01-01']]
[['Olga V U002E Apalikova', 'startMemberOf', 'Lincoln City F. C.', '2026-01-01']]
[['Tyler Miller', 'endMemberOf', 'United States men\' s national under-23 soccer team', '2026-01-01']]
[['Shabnam Hakimi', 'endWorksFor', 'University of Colorado Boulder', '2026-01-01']]
[['Sitthisak Kiratipongvoot', 'endWorksFor', 'Hong Kong Polytechnic University', '2026-01-01']]
[['Johanna Tomorsky', 'endWorksFor', 'Medical College of Wisconsin', '2026-01-01']]
[['Șinteu', 'endLocation', 'Charcuterie generic instance', '2026-01-01']]
[['Eliana Close', 'endWorksFor', 'Francis Crick Institute', '2026-01-01']]
[['Manuel Velázquez', 'endMemberOf', 'Spain national football team', '2026-01-01']]
[['Scott Harrison ( footballer)', 'startMemberOf', 'FC Neftyanik Ufa', '2026-01-01']]
[['John S U002E Wright', 'startMemberOf', 'FC Dynamo Kyiv', '2026-01-01']]
[['Tracy Metz', 'endMemberOf', 'Japan national under-20 football team', '2026-01-01']]
[['Koos Andriessen', 'endWorksFor', 'University of Amsterdam', '2026-01-01']]
[['George Taratsides', 'endMemberOf', 'Pittsburgh Spirit', '2026-01-01']]
[['', 'startMemberOf', 'Tennessee Volunteers basketball', '2026-01-01']]
[['Aïmen Demai', 'endMemberOf', 'First Vienna FC', '2026-01-01']]
[['Han Chow Koh', 'startMemberOf', 'University of Minnesota system', '2026-01-01']]
[['Thomas E Bohl', 'endWorksFor', 'Dominican Republic men\' s national basketball team', '2026-01-01']]
[['Giampiero Esposito', 'endWorksFor', 'Clinica Mediterranea', '2026-01-01']]
