[['Dimitri Mohamed', 'startMemberOf', 'FK Borac Čačak', '2022-01-01']]
[['Kotaro Takeda', 'endWorksFor', 'Fujita Health University', '2022-01-01']]
[['Florian Berisha', 'startMemberOf', 'SC Zofingen', '2022-01-01']]
[['Jagajjit Sahu', 'endWorksFor', 'University of Aberdeen', '2022-01-01']]
[['Alexandra V Costa', 'endWorksFor', 'Cooperativa De Ensino Superior Politécnico E Universitário', '2022-01-01']]
[['Jonathan Milligan', 'endMemberOf', 'Pittsburgh Panthers men\' s basketball', '2022-01-01']]
[['Zsuzsa Selyem', 'endWorksFor', 'LMP – Hungary\' s Green Party', '2022-01-01']]
[['Andrei Kovalenko ( Belarusian footballer)', 'startMemberOf', 'Georgia Tech', '2022-01-01']]
[['Nicolas Garnier', 'endWorksFor', 'RSK Dižvanagi', '2022-01-01']]
[['Steve Stone ( footballer)', 'startMemberOf', 'Fehérvár FC', '2022-01-01']]
[['Andrea Gessa', 'startMemberOf', 'Olbia Calcio 1905', '2022-01-01']]
[['Jason T Long', 'endWorksFor', 'Medical College of Wisconsin', '2022-01-01']]
[['Mitsuru Hasegawa', 'startMemberOf', 'Thespakusatsu Gunma', '2022-01-01']]
[['Emanuel Villa', 'endMemberOf', 'Panserraikos F. C.', '2022-01-01']]
[['Polychronis Vezyridis', 'endMemberOf', 'Tecos F. C.', '2022-01-01']]
[['Brandon Jennings', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-01-01']]
[['Pedro Renato P Brandão', 'startMemberOf', 'St. John\' s Red Storm men\' s basketball', '2022-01-01']]
[['Zhanghua Han', 'startMemberOf', 'Asteras Magoula F. C.', '2022-01-01']]
[['Rahamanh Katumbusi Ii', 'startMemberOf', 'Team FOG Næstved', '2022-01-01']]
[['Nuno Torres', 'endMemberOf', 'Ladies In Black Aachen', '2022-01-01']]
[['Ilaria Gionfriddo', 'endWorksFor', 'University of Perugia', '2022-01-01']]
[['Spirit Ricks', 'startMemberOf', 'Tulane Green Wave men\' s basketball', '2022-01-01']]
[['Jafar Bazri', 'endMemberOf', 'Shahrdari Tabriz F. C.', '2022-01-01']]
[['Cho-Ying Huang', 'endWorksFor', 'National Cheng Kung University', '2022-01-01']]
[['Daniel Aili', 'endWorksFor', 'Nanyang Technological University', '2022-01-01']]
[['David Bell', 'startMemberOf', 'Club Ourense Baloncesto', '2022-01-01']]
[['Bernard Mensah ( footballer, born October 1994)', 'startMemberOf', 'Çaykur Rizespor', '2022-01-01']]
[['Brian Pearson', 'endMemberOf', 'FC Stal Alchevsk', '2022-01-01']]
[['Emanuel Hernández-Núñez', 'startMemberOf', 'Morocco national football team generic instance', '2022-01-01']]
[['Gibran Hemani', 'endMemberOf', 'North Carolina FC U23', '2022-01-01']]
[['Olafr Schmidt', 'endMemberOf', 'Lausitzer Füchse', '2022-01-01']]
[['Betão ( defender)', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2022-01-01']]
[['Zihan Kan', 'endMemberOf', 'Savannah State Tigers basketball', '2022-01-01']]
[['Marco Todesco', 'endMemberOf', 'SV Schaffhausen', '2022-01-01']]
[['Spartak Gogniyev', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2022-01-01']]
[['Alireza Azimi', 'endMemberOf', 'Rah Ahan Tehran F. C.', '2022-01-01']]
[['André Paulino', 'startMemberOf', 'Fehérvár FC', '2022-01-01']]
[['Kaveh Rezaei', 'startMemberOf', 'Gol Gohar Sirjan F. C.', '2022-01-01']]
[['Ahmad Al Beloushi', 'startMemberOf', 'Sharjah FC', '2022-01-01']]
[['Josephine Groenveld', 'endMemberOf', 'SD Worx', '2022-01-01']]
[['Julien Peyrelongue', 'startMemberOf', 'CA Saint-Étienne Loire Sud Rugby', '2022-01-01']]
[['Vladimír Coufal', 'startMemberOf', 'MFK Karviná', '2022-01-01']]
[['Bryant Beckford', 'startMemberOf', 'Onisilos Sotira', '2022-01-01']]
[['Rashid Rakhimov', 'endMemberOf', 'SV Ried', '2022-01-01']]
[['Andre Walker', 'endMemberOf', 'Hofstra Pride men\' s basketball', '2022-01-01']]
[['Jason Rose', 'startMemberOf', 'German Research Foundation', '2022-01-01']]
[['Benjamin Hennig', 'startMemberOf', 'National Research Council ( Italy)', '2022-01-01']]
[['Giorgi Mamardashvili', 'startMemberOf', 'FC Dinamo Batumi', '2022-01-01']]
[['Pavel Tarasov', 'startMemberOf', 'FC Volga Ulyanovsk', '2022-01-01']]
[['Maurizio Marin', 'startMemberOf', 'A. S. Pro Piacenza 1919', '2022-01-01']]
[['Rajendra Baikady', 'endWorksFor', 'National Chengchi University', '2022-01-01']]
[['Andy Marriott', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-01-01']]
[['Mehmed Uğur Işık', 'endWorksFor', 'Etimesgut Asker Hastanesi', '2022-01-01']]
[['Richard Forshee', 'endWorksFor', 'University of Maryland, College Park', '2022-01-01']]
[['Ramal Huseynov', 'startMemberOf', 'Neftchala FK', '2022-01-01']]
[['Thierry R U002E J U002E Achard', 'endWorksFor', 'University of Geneva', '2022-01-01']]
[['Javier Duren', 'endMemberOf', 'Yale Bulldogs men\' s basketball', '2022-01-01']]
[['Margarida Pereira', 'endWorksFor', 'Faculty Of Medicine Of The University Of Porto', '2022-01-01']]
[['Johndre Jefferson', 'startMemberOf', 'Soles de Mexicali', '2022-01-01']]
[['Nicolas Saint-Ruf', 'startMemberOf', 'K. V. C. Westerlo', '2022-01-01']]
[['Sílvia Lloréns', 'endWorksFor', 'Facultad De Medicina De Albacete', '2022-01-01']]
[['Jaroslav Kostelný', 'startMemberOf', 'MFK Karviná', '2022-01-01']]
[['Martín Garrido', 'endMemberOf', 'Relax– GAM', '2022-01-01']]
[['Elsar Rodas', 'endMemberOf', 'Atlético Minero', '2022-01-01']]
[['Ke Li', 'endMemberOf', 'Dumbarton F. C.', '2022-01-01']]
[['Mariana Hinzmann', 'endMemberOf', 'Club Universitario de Deportes', '2022-01-01']]
[['Dominic Fritz', 'endMemberOf', 'Alliance 90 u002F The Greens', '2022-01-01']]
[['Cameron Taylor', 'endMemberOf', 'A U0028 U0028 Wake U0029 U0029 ', '2022-01-01']]
[['Maksym Havrylenko', 'startMemberOf', 'FC Stal Alchevsk', '2022-01-01']]
[['Alexandre Teklak', 'endMemberOf', 'South Florida Bulls men\' s basketball', '2022-01-01']]
[['Dhave Setabutr', 'startMemberOf', 'Delhi Capitals', '2022-01-01']]
[['Berta Gumí-Audenis', 'startMemberOf', 'Sunderland Nissan F. C.', '2022-01-01']]
[['Philippe Souchard', 'startMemberOf', 'PFC Slavia Sofia', '2022-01-01']]
[['Aleksandr Simonenko', 'startMemberOf', 'FC Sibiryak Bratsk', '2022-01-01']]
[['Back Young-chul', 'startMemberOf', 'Júbilo Iwata', '2022-01-01']]
[['Jeremy Chappell', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-01-01']]
[['Attila Farkas', 'startMemberOf', 'Fehérvár FC', '2022-01-01']]
[['Alan Stubbs', 'startMemberOf', 'Ottawa Fury FC', '2022-01-01']]
[['Luís R Raposo', 'endWorksFor', 'NOVA School of Science and Technology', '2022-01-01']]
[['Batram Suri', 'startMemberOf', 'Wairarapa United', '2022-01-01']]
[['Alex Owumi', 'endMemberOf', 'Alcorn State Braves basketball', '2022-01-01']]
[['Luke Chambers', 'startMemberOf', 'Lincoln United F. C.', '2022-01-01']]
[['Osniel Melgarejo', 'endMemberOf', 'Panathinaikos V. C.', '2022-01-01']]
[['Aline Mansueto Mourão', 'endWorksFor', 'Hospital Risoleta Tolentino Neves', '2022-01-01']]
[['Aleksei Ilatovskiy', 'startMemberOf', 'FK Ventspils', '2022-01-01']]
[['Muhammad Ridwan', 'startMemberOf', 'Persepam Madura Utama', '2022-01-01']]
[['Mirko Lamantia', 'endMemberOf', 'Borgosesia Calcio', '2022-01-01']]
[['Jean Cajou', 'startMemberOf', 'Texas Longhorns men\' s basketball', '2022-01-01']]
[['Tony Johnson', 'startMemberOf', 'Albacete Basket', '2022-01-01']]
[['Felix Wiedwald', 'startMemberOf', 'Çaykur Rizespor', '2022-01-01']]
[['Ody Oguama', 'startMemberOf', 'Michigan Wolverines men\' s basketball', '2022-01-01']]
[['Randy Williams', 'startMemberOf', 'CB Estudiantes', '2022-01-01']]
[['Sivaram Arepalli', 'endWorksFor', 'National Institute of Aerospace', '2022-01-01']]
[['Tristan Valentin', 'endMemberOf', 'Cofidis ( cycling team)', '2022-01-01']]
[['Chang Wu-yeh', 'endMemberOf', 'Kuala Lumpur Football Association', '2022-01-01']]
[['Arumugam Rajavelu', 'startMemberOf', 'German Research Foundation', '2022-01-01']]
[['Coralie Lassource', 'endMemberOf', 'Apollo College Of Veterinary Medicine U002C Jaipur', '2022-01-01']]
[['Kémoko Camara', 'endMemberOf', 'German Research Foundation', '2022-01-01']]
[['C Hayer', 'startMemberOf', 'AS FAR ( football club)', '2022-01-01']]
[['Tahi Saihate', 'endMemberOf', 'Hong Kong University of Science and Technology', '2022-01-01']]
[['V U002E H U002E Shelton', 'endWorksFor', 'German Research Foundation', '2022-01-01']]
