[['V.J. Holmes', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-01']]
[['Hunter Crist', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-01']]
[['Shaq Carr', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-01']]
[['Maksim Taleyko', 'startWorksFor', 'Republic of Korea Navy', '2022-01-01']]
[['Mikel Méndez', 'award', 'Doctor of Philosophy', '2022-01-01']]
[['Pompeu Fabra University', 'award', 'Bachelor\'s degree', '2022-01-01']]
[['Joe Hamill', 'startWorksFor', 'Institute for Health Metrics and Evaluation', '2022-01-01']]
[['Zhenan Bao', 'startWorksFor', 'University of Southern California', '2022-01-01']]
[['Peter M Chapple', 'startAcademicDegree', 'Doctor of Philosophy', '2022-01-01']]
[['Ofir Kriaf', 'startOwns', 'Ncaa Division I Men\'S Basketball', '2022-01-01']]
[['Zunkai Xu', 'startWorksFor', 'University of Bristol', '2022-01-01']]
[['Piotr Hajłasz', 'award', 'Doctor of Philosophy', '2022-01-01']]
[['Hadi Sacko', 'award', 'Doctor of Philosophy', '2022-01-01']]
[['Brendan Daniel Sheridan', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-01']]
[['Ousmane Sidibé', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-01']]
[['Ryan Beddeo', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-01']]
[['David Burrell', 'startWorksFor', 'Endemol Shine Group', '2022-01-02']]
[['Dmitry Sibilev', 'award', 'Master of Fine Arts', '2022-01-02']]
[['Jahlil Tripp', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-02']]
[['Shin Kawano', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-02']]
[['Yevgeniy Abramovich', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-02']]
[['Jennifer L. Pannell', 'startWorksFor', 'Federal Ministry of Education and Research (Germany)', '2022-01-02']]
[['Cress Worthy', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-02']]
[['Evan Yerkes', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-02']]
[['Jeffery Moss', 'startWorksFor', 'Assistance Publique-Hôpitaux De Marseille', '2022-01-02']]
[['Lukas Friedrich', 'endWorksFor', 'ETH Zurich', '2022-01-02']]
[['Jennifer L. Pannell', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-02']]
[['Ibarra Canton', 'startLeader', 'Marjan Rintel', '2022-01-02']]
[['Jeremy Sanchez', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-02']]
[['Mohammed Danish', 'endWorksFor', 'Shanghai Jiao Tong University', '2022-01-02']]
[['Konrad Szocik', 'endWorksFor', 'Yale University', '2022-01-02']]
[['Ido Wachtel', 'endWorksFor', 'Tel Aviv University', '2022-01-02']]
[['Justin Lawley', 'endWorksFor', 'University of Texas Southwestern Medical Center', '2022-01-03']]
[['Boston Chandler', 'startAcademicDegree', 'Master of Music', '2022-01-03']]
[['Lin Chih-chien', 'startAcademicDegree', 'Master\'s degree', '2022-01-03']]
[['Lahat Thioune', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-03']]
[['Petrus du Plessis', 'startWorksFor', 'Republic of Korea Navy', '2022-01-03']]
[['Sophie Nicole', 'startAcademicDegree', 'Scientific Professorship Degree', '2022-01-03']]
[['Aj Caldwell', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-03']]
[['Cameron Ba', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-03']]
[['Bhargavi Yellapu', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-03']]
[['Anne-Sophie Novel', 'startWorksFor', 'BlackRock', '2022-01-03']]
[['Shell plc', 'startLeader', 'Nathalie Von Gunten-Dal Busco', '2022-01-03']]
[['Carlos Hines', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-03']]
[['Teresa Marques', 'endWorksFor', 'University of Barcelona', '2022-01-03']]
[['Ousmane Sidibé', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-03']]
[['Kelly Cribari', 'startAcademicDegree', 'Master of Science', '2022-01-03']]
[['Shaun Davidson', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-04']]
[['Team Tilt', 'endLeader', 'Tanguy Cariou', '2022-01-04']]
[['Carol Edelman Warrior', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-04']]
[['Jeffery Moss', 'endWorksFor', 'Assistance Publique-Hôpitaux De Marseille', '2022-01-04']]
[['Pradeep Singh', 'endWorksFor', 'Rama University', '2022-01-04']]
[['Evgeny Morozov', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-04']]
[['Yohann Auvitu', 'endPlaysIn', 'National Hockey League', '2022-01-04']]
[['Joseph Battle', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-04']]
[['Oddyst Walker', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-04']]
[['Christian Wilson', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-04']]
[['Anne-Sophie Novel', 'endWorksFor', 'BlackRock', '2022-01-04']]
[['Victor M. Borges', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-04']]
[['Anne-Sophie Novel', 'endWorksFor', 'BlackRock', '2022-01-04']]
[['Anne-Sophie Novel', 'endWorksFor', 'BlackRock', '2022-01-04']]
[['Team Tilt', 'endLeader', 'Tanguy Cariou', '2022-01-04']]
[['Alihan Demir', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-04']]
[['Petrus du Plessis', 'endWorksFor', 'Republic of Korea Navy', '2022-01-05']]
[['Ben Perry', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-05']]
[['Johannes Dimyadi', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-05']]
[['Evan Richard', 'startAcademicDegree', 'Doctor of Philosophy', '2022-01-05']]
[['The Elder Scrolls: Legends', 'startContentLocation', 'North Carolina Zoo', '2022-01-05']]
[['Tanner Morgan', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-05']]
[['Jarrell Reeves', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-05']]
[['Amari Haynes', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-05']]
[['Gibran Escalera', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-05']]
[['Zunkai Xu', 'endWorksFor', 'University of Bristol', '2022-01-05']]
[['Shell plc', 'endLeader', 'Nathalie Von Gunten-Dal Busco', '2022-01-05']]
[['Alex Lincoln', 'startAcademicDegree', 'Doctor of Philosophy', '2022-01-05']]
[['Hao Zheng', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-05']]
[['Jenna Gilkes', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-05']]
[['Shell plc', 'endLeader', 'Nathalie Von Gunten-Dal Busco', '2022-01-05']]
[['Michael Mayernick', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-05']]
[['Aleksandr Mrinsky', 'startWorksFor', 'University of Bologna', '2022-01-06']]
[['Jarrett Allen', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-06']]
[['Laquan Butler', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-06']]
[['Christian G Ramos', 'endWorksFor', 'Weizmann Institute of Science', '2022-01-06']]
[['Myles G Garstang', 'award', 'Doctor of Philosophy', '2022-01-06']]
[['Spencer Cody', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-06']]
[['Bruno De Medeiros', 'endWorksFor', 'Smithsonian Tropical Research Institute', '2022-01-06']]
[['Kadeem Allen', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-06']]
[['Keli Leaupepe', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-06']]
[['Md Sainur Samad', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-06']]
[['Byaroza District', 'startLeader', 'Lena Luthor', '2022-01-06']]
[['Irshaad Hunte', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-06']]
[['Laia Codina', 'startMemberOf', 'North York General Hospital', '2022-01-06']]
[['Dominic Ezeani', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-06']]
[['Zhenan Bao', 'endWorksFor', 'University of Southern California', '2022-01-06']]
[['Kevin Kangni', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-07']]
[['Dylan Whitbread', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-07']]
[['Amjad I Aqib', 'endWorksFor', 'University of Agriculture, Faisalabad', '2022-01-07']]
[['Cam Davis', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-07']]
[['Team Tilt', 'startLeader', 'Libor Chrobok', '2022-01-07']]
[['Shamar Johnson', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-07']]
[['Håvard Holmefjord Lorentzen', 'startMemberOf', 'University of Bologna', '2022-01-07']]
[['Jake Taylor (footballer, born 1991)', 'startMemberOf', 'University of Lille Nord de France', '2022-01-07']]
[['David Loera', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-07']]
[['Najee Fitzgerald', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-07']]
[['Viktor Lööv', 'endPlaysIn', 'National Hockey League', '2022-01-07']]
[['Emma M Brown', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-07']]
[['Greg Gainey', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-07']]
[['Gianfranco Di Lonardo', 'endWorksFor', 'University of Bologna', '2022-01-07']]
[['Cheickna Dembele', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-07']]
[['Arghya Kundu Choudhury', 'endWorksFor', 'All India Institute of Medical Sciences, Rishikesh', '2022-01-07']]
[['Devyn Wilson', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-08']]
[['John Fraser', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-08']]
[['Alifdalino Sulaiman', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-08']]
[['Nena Schink', 'startAcademicDegree', 'Master of Music', '2022-01-08']]
[['Fletcher Abee', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-08']]
[['Jennifer L. Pannell', 'endWorksFor', 'Federal Ministry of Education and Research (Germany)', '2022-01-08']]
[['Christopher Jon Andrews', 'startAcademicDegree', 'Master of Education', '2022-01-08']]
[['Nick Mcglynn', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-08']]
[['Hana Polášek-Sedláčková', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-08']]
[['Keshubhai Patel', 'award', 'Doctorate', '2022-01-08']]
[['András Horváth', 'endWorksFor', 'Chemical Research Center of the Hungarian Academy of Sciences', '2022-01-08']]
[['Dean Henderson', 'startWorksFor', 'Rethmann France', '2022-01-08']]
[['Samba Kane', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-08']]
[['Xing Wang', 'endWorksFor', 'Institute Of Physics, Johannes Gutenberg-University Mainz', '2022-01-08']]
[['Ha Dae-won', 'award', 'Master of Fine Arts', '2022-01-08']]
[['Jasmin Hasić', 'startAcademicDegree', 'Habilitation', '2022-01-08']]
[['Imajae Dodd', 'startWorksFor', 'University of Bologna', '2022-01-09']]
[['Dimitris Kakofengitis', 'endWorksFor', 'North Hertfordshire College', '2022-01-09']]
[['Mauro Masiol', 'endWorksFor', 'Clarkson University', '2022-01-09']]
[['Drue Drinnon', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-09']]
[['Matthew Strange', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-09']]
[['Femto Pulse', 'startManufacturer', 'University of Bologna', '2022-01-09']]
[['Adam Pike', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-09']]
[['Days', 'startContentLocation', 'Alderson Broaddus University', '2022-01-09']]
[['Sam Hofman', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-09']]
[['Shane A. Mccoy', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-09']]
[['Justine Chan', 'startAcademicDegree', 'Master of Music', '2022-01-09']]
[['David Loera', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-09']]
[['Zhou Lu', 'startAcademicDegree', 'Master of Science', '2022-01-09']]
[['Neal Begovich', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-09']]
[['Kc Henry', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-09']]
