[['Osniel Melgarejo', 'endMemberOf', 'Panathinaikos V. C.', '2026-01-01'], ['Coralie Lassource', 'endMemberOf', 'Apollo College Of Veterinary Medicine U002C Jaipur', '2026-01-01'], ['Raúl González ( handballer)', 'endMemberOf', 'BM Granollers', '2026-01-04'], ['Sabina Jacobsen', 'endMemberOf', 'Ikast Håndbold', '2026-01-31']]
[['Lendl Simmons', 'startMemberOf', 'Karachi Kings', '2026-02-01'], ['Robin Bist', 'startMemberOf', 'Islamabad United', '2026-02-01'], ['Jackson Coleman', 'endMemberOf', 'CB Breogán', '2026-02-24'], ['Salvador Puig I Asbert', 'endMemberOf', 'BM Granollers', '2026-03-01']]
[['Tim McIntosh ( cricketer)', 'startMemberOf', 'Middlesex County Cricket Club', '2026-03-01'], ['Adam Hollioake', 'endMemberOf', 'Essex County Cricket Club', '2026-03-01'], ['John Francis ( English cricketer)', 'endMemberOf', 'Loughborough MCC University', '2026-03-17'], ['Dave Mohammed', 'startMemberOf', 'Karachi Kings', '2026-03-31']]
[['Shoaib Khan', 'startMemberOf', 'Quetta Gladiators', '2026-04-09'], ['Lin Yi-hao', 'endMemberOf', 'Eda Rhinos', '2026-04-14'], ['Nicholas Hatch', 'startMemberOf', 'Kolkata Knight Riders', '2026-04-18'], ['Steven Naylor', 'startMemberOf', 'Auckland cricket team', '2026-05-01']]
[['Alex Doolan', 'startMemberOf', 'Wellington cricket team', '2026-05-01'], ['Craig Jennings', 'endMemberOf', 'Northamptonshire County Cricket Club', '2026-05-14'], ['Naved-ul-Hasan', 'startMemberOf', 'Karachi Kings', '2026-05-15'], ['Kinga Klivinyi', 'startMemberOf', 'Viborg Hk', '2026-05-26']]
[['Mohammad Hafeez', 'startMemberOf', 'Karachi Kings', '2026-05-29'], ['Owais Shah', 'startMemberOf', 'Wellington cricket team', '2026-05-31'], ['Aaron Redmond', 'endMemberOf', 'New Zealand national cricket team', '2026-06-02'], ['Hamza Riazuddin', 'endMemberOf', 'Hampshire County Cricket Club', '2026-06-06']]
[['Yudai Kawai', 'startMemberOf', 'LG Twins', '2026-06-13'], ['Line Mai Hougaard', 'endMemberOf', 'Randers HK', '2026-06-16'], ['Richard Mansfield ( cricketer)', 'endMemberOf', 'Surrey Cricket Board', '2026-06-20'], ['Jonathan Foo', 'endMemberOf', 'Jamaica Tallawahs', '2026-06-20']]
[['Nazmul Hossain Milon', 'startMemberOf', 'Islamabad United', '2026-06-30'], ['Glenn Maxwell', 'startMemberOf', 'Wellington cricket team', '2026-06-30'], ['Adrian Barath', 'startMemberOf', 'Karachi Kings', '2026-06-30'], ['Jayden Levitt', 'startMemberOf', 'Oxfordshire County Cricket Club', '2026-07-01']]
[['James Pearson ( cricketer, born 1983)', 'startMemberOf', 'Shropshire County Cricket Club', '2026-07-01'], ['Eva Pavlović Mori', 'startMemberOf', 'Unet E-Work Busto Arsizio', '2026-07-03'], ['Virender Sehwag', 'startMemberOf', 'Wellington cricket team', '2026-07-07'], ['Andreas Wolff', 'endMemberOf', 'HSG Wetzlar', '2026-07-08']]
[['Cameron Borgas', 'startMemberOf', 'Australia national cricket team', '2026-07-31'], ['Richard Gilbert ( cricketer)', 'endMemberOf', 'Oxfordshire County Cricket Club', '2026-08-01'], ['Sachin Rana', 'startMemberOf', 'Sunrisers Hyderabad', '2026-08-01'], ['Phillippe Aumont', 'startMemberOf', 'Washington Nationals', '2026-08-12']]
[['Iosu Goñi Leoz', 'startMemberOf', 'BM Granollers', '2026-08-31'], ['Nimétigna Keïta', 'endMemberOf', 'OGC Nice Côte d\' Azur Handball', '2026-09-01'], ['Karun Nair', 'startMemberOf', 'Islamabad United', '2026-09-01'], ['Manpreet Gony', 'startMemberOf', 'Wellington cricket team', '2026-09-01']]
[['Tatjana Brnović', 'startMemberOf', 'Rostov-Don', '2026-09-02'], ['Joseph Wilson ( English cricketer)', 'endMemberOf', 'Dorset County Cricket Club', '2026-09-09'], ['Alena Stellnerová', 'endMemberOf', 'DHC Slavia Prague', '2026-09-10'], ['David Banks ( cricketer, born 1961)', 'startMemberOf', 'Herefordshire County Cricket Club', '2026-09-10']]
[['Mika Grbavica', 'endMemberOf', 'Haok Mladost', '2026-09-30'], ['Ashton Agar', 'endMemberOf', 'Australia national cricket team', '2026-10-01'], ['Craig Young ( cricketer)', 'endMemberOf', 'Hampshire County Cricket Club', '2026-10-01'], ['Oleksandra Bycenko', 'endMemberOf', 'Nilüfer Belediyespor ( women\' s volleyball)', '2026-10-01']]
[['Erin Burns', 'startMemberOf', 'Lancashire Thunder', '2026-10-15'], ['Jerome Taylor', 'endMemberOf', 'Mumbai Indians', '2026-10-17'], ['Sean Rodriguez', 'startMemberOf', 'Arizona Diamondbacks', '2026-10-17'], ['Rory Kleinveldt', 'endMemberOf', 'Hampshire County Cricket Club', '2026-10-22']]
[['Matt Anderson ( volleyball)', 'endMemberOf', 'Volley Callipo', '2026-10-31'], ['Brazilian Army Non-Commissioned Officer Academy', 'startMemberOf', 'MTK Budapest ( women\' s handball)', '2026-11-01'], ['Laura Kamdop', 'startMemberOf', 'RK Krim', '2026-11-06'], ['Marta Gens', 'endMemberOf', 'Club Voleibol Diego Porcelos', '2026-11-10']]
[['Lore Gillis', 'startMemberOf', 'VC Oudegem', '2026-11-14'], ['Harry Bush ( American cricketer)', 'endMemberOf', 'Norfolk County Cricket Club', '2026-11-23'], ['Suryakumar Yadav', 'startMemberOf', 'Kolkata Knight Riders', '2026-11-26'], ['Gulraiz Sadaf', 'startMemberOf', 'Karachi Kings', '2026-12-01']]
[['Lene Scheuschner', 'endMemberOf', 'Vc Olympia', '2026-12-01'], ['Toshio Fukazawa', 'startMemberOf', 'Ishikawa Million Stars', '2026-12-08'], ['Reece Topley', 'startMemberOf', 'Hobart Hurricanes', '2026-12-20'], ['', 'startMemberOf', 'Kronon Grodno', '2026-12-29']]
[['Zsuzsa Selyem', 'endWorksFor', 'LMP – Hungary\' s Green Party', '2026-01-01'], ['Rajendra Baikady', 'endWorksFor', 'National Chengchi University', '2026-01-01'], ['Scott Earley', 'endWorksFor', 'QIMR Berghofer Medical Research Institute', '2026-01-01'], ['Jacques Poujol', 'startMemberOf', 'Académie Des Hauts Cantons', '2026-01-04']]
[['Horst D U002E Schulz', 'startMemberOf', 'Morocco national football team generic instance', '2026-01-26'], ['Nina Buchmann', 'endMemberOf', 'Junge Akademie', '2026-01-31'], ['Jonathan L U002E Payne', 'endWorksFor', 'Pennsylvania State University', '2026-02-01'], ['Monika K U002E Rabarison', 'startMemberOf', 'University Of Oxford University College Oxford', '2026-03-01']]
