[['Nazmul Hossain Milon', 'startMemberOf', 'Islamabad United', '2022-06-30'], ['Glenn Maxwell', 'startMemberOf', 'Wellington cricket team', '2022-06-30'], ['Adrian Barath', 'startMemberOf', 'Karachi Kings', '2022-06-30'], ['Jayden Levitt', 'startMemberOf', 'Oxfordshire County Cricket Club', '2022-07-01']]
[['Iosu Goñi Leoz', 'startMemberOf', 'BM Granollers', '2022-08-31'], ['Nimétigna Keïta', 'endMemberOf', 'OGC Nice Côte d\' Azur Handball', '2022-09-01'], ['Karun Nair', 'startMemberOf', 'Islamabad United', '2022-09-01'], ['Manpreet Gony', 'startMemberOf', 'Wellington cricket team', '2022-09-01']]
[['Mika Grbavica', 'endMemberOf', 'Haok Mladost', '2022-09-30'], ['Ashton Agar', 'endMemberOf', 'Australia national cricket team', '2022-10-01'], ['Craig Young ( cricketer)', 'endMemberOf', 'Hampshire County Cricket Club', '2022-10-01'], ['Oleksandra Bycenko', 'endMemberOf', 'Nilüfer Belediyespor ( women\' s volleyball)', '2022-10-01']]
[['Josephine Groenveld', 'endMemberOf', 'SD Worx', '2022-01-01'], ['Martín Garrido', 'endMemberOf', 'Relax– GAM', '2022-01-01'], ['Tristan Valentin', 'endMemberOf', 'Cofidis ( cycling team)', '2022-01-01'], ['José Luis Arrieta', 'endMemberOf', 'Association Sirocco', '2022-01-01']]
[['Frøydis Meen Wærsted', 'endMemberOf', 'Team Coop– Hitec Products', '2022-01-26'], ['Tomoya Kano', 'startMemberOf', 'AG2R Citroën Team', '2022-01-26'], ['Sebastián Mora', 'startMemberOf', 'Vc Villefranche Beaujolais', '2022-01-26'], ['Scott Davies ( cyclist)', 'startMemberOf', 'Intermarché– Circus– Wanty', '2022-01-30']]
[['Dotsie Bausch', 'startMemberOf', 'Team DSM ( women\' s team)', '2022-01-31'], ['Joanna van de Winkel', 'startMemberOf', 'Multum Accountants Ladies Cycling Team', '2022-01-31'], ['Knut Landa', 'endMemberOf', 'Team Frøy– Bianchi', '2022-02-01'], ['Maxime Vantomme', 'endMemberOf', 'Mitsubishi– Jartazi', '2022-02-01']]
[['Samet Bulut', 'endMemberOf', 'Spor Toto Cycling Team', '2022-02-28'], ['Eider Mendizabal', 'endMemberOf', 'Bizkaia– Durango', '2022-03-01'], ['Adrian Tracy', 'startMemberOf', 'UAE Team Emirates', '2022-03-01'], ['Stefan Vreugdenhil', 'startMemberOf', 'Intermarché– Circus– Wanty', '2022-03-01']]
[['Giovanni Lonardi', 'endMemberOf', 'Green Project– Bardiani– CSF– Faizanè', '2022-05-01'], ['José Miguel Elías', 'startMemberOf', 'UAE Team Emirates', '2022-05-01'], ['Alexandre Seny', 'endMemberOf', 'T. Palm– Pôle Continental Wallon', '2022-05-01'], ['Ariadna Gutiérrez ( cyclist)', 'startMemberOf', 'Massi– Tactic Women Team', '2022-05-01']]
[['Jayson Valade', 'startMemberOf', 'Hincapie– Leomo p u002F b BMC', '2022-06-30'], ['Davide Plebani', 'endMemberOf', 'Biesse Arvedi', '2022-07-01'], ['Christian Charrière', 'startMemberOf', 'UAE Team Emirates', '2022-07-01'], ['Marieke Den Otter', 'startMemberOf', 'AG Insurance– Soudal– Quick-Step', '2022-07-01']]
[['Dimitri Le Boulch', 'endMemberOf', 'St. Michel– Mavic– Auber93 ( men\' s team)', '2022-07-01'], ['Adrie Lindeman', 'endMemberOf', 'Riwal Cycling Team', '2022-07-01'], ['Andrew Vollmer', 'endMemberOf', 'Aevolo', '2022-07-13'], ['Jin Okubo', 'startMemberOf', 'Nippo– Vini Fantini– Faizanè', '2022-07-13']]
[['Songezo Jim', 'startMemberOf', 'UAE Team Emirates', '2022-08-01'], ['Daniel Mestre', 'endMemberOf', 'Glassdrive– – Anicolor', '2022-08-01'], ['Ukko Peltonen', 'startMemberOf', 'Groupama– FDJ Continental Team', '2022-08-01'], ['Eleonora Soldo', 'endMemberOf', 'ACS Cycling Chirio– Casa Giani', '2022-08-01']]
[['Paul Martens', 'startMemberOf', 'AG2R Citroën Team', '2022-12-13'], ['Xavier Tondo', 'startMemberOf', 'AG2R Citroën Team', '2022-12-20'], ['Stefano Moro', 'startMemberOf', 'UAE Team Emirates', '2022-12-29'], ['Ludovic Auger', 'startMemberOf', 'CIC U Nantes Atlantique', '2022-12-29']]
[['Ismael Grospe', 'endMemberOf', 'Go for Gold Philippines', '2022-12-31'], ['Alo Jakin', 'startMemberOf', 'AG2R Citroën Team', '2022-12-31'], ['Michael Schär', 'endMemberOf', 'Astana Qazaqstan Team', '2022-12-31'], ['Marc Dörrie', 'startWorksFor', 'National Institute for Interdisciplinary Science and Technology', '2022-12-31']]
[['Jonathan Milligan', 'endMemberOf', 'Pittsburgh Panthers men\' s basketball', '2022-01-01'], ['Brandon Jennings', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-01-01'], ['Rahamanh Katumbusi Ii', 'startMemberOf', 'Team FOG Næstved', '2022-01-01'], ['Spirit Ricks', 'startMemberOf', 'Tulane Green Wave men\' s basketball', '2022-01-01']]
[['Andre Walker', 'endMemberOf', 'Hofstra Pride men\' s basketball', '2022-01-01'], ['Javier Duren', 'endMemberOf', 'Yale Bulldogs men\' s basketball', '2022-01-01'], ['Johndre Jefferson', 'startMemberOf', 'Soles de Mexicali', '2022-01-01'], ['Tremain Holloway', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-01-01']]
[['Jeremy Chappell', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-01-01'], ['Alex Owumi', 'endMemberOf', 'Alcorn State Braves basketball', '2022-01-01'], ['Jean Cajou', 'startMemberOf', 'Texas Longhorns men\' s basketball', '2022-01-01'], ['Tony Johnson', 'startMemberOf', 'Albacete Basket', '2022-01-01']]
[['Randy Williams', 'startMemberOf', 'CB Estudiantes', '2022-01-01'], ['Alex Bazzell', 'endWorksFor', 'Colorado State University', '2022-01-01'], ['Marla Brumfield', 'startMemberOf', 'Houston Comets', '2022-01-01'], ['Omar Israel Jaime', 'startMemberOf', 'Club Atlético Atlanta', '2022-01-01']]
[['Justin Cobbs', 'startMemberOf', 'Beşiktaş J. K. ( men\' s basketball)', '2022-01-31'], ['Cedric Martin', 'startMemberOf', 'Memphis Grizzlies', '2022-01-31'], ['Marcus Clift', 'endMemberOf', 'Montana State Bobcats men\' s basketball', '2022-01-31'], ['Aleksei Filippov ( footballer, born 1973)', 'endMemberOf', 'CB Gran Canaria', '2022-02-01']]
[['Mike Himes', 'startMemberOf', 'Xavier Musketeers men\' s basketball', '2022-02-01'], ['Tim Pickett', 'endMemberOf', 'Florida State Seminoles men\' s basketball', '2022-02-01'], ['Dedric Lawson', 'endMemberOf', 'Kansas Jayhawks men\' s basketball', '2022-02-01'], ['Marino Baždarić', 'endMemberOf', 'KK Cedevita Junior', '2022-02-01']]
[['Terrell Miller ( basketball)', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-02-01'], ['Luigi Gallo', 'endMemberOf', 'Towson Tigers men\' s basketball', '2022-02-01'], ['Robert Cosialls', 'startMemberOf', 'CB Zamora', '2022-02-01'], ['Michael Ott', 'startMemberOf', 'Fortitudo Agrigento', '2022-02-01']]
[['Skip Mills', 'startMemberOf', 'Western Kentucky Hilltoppers basketball', '2022-02-01'], ['Justin Petty', 'endMemberOf', 'Gazi University', '2022-02-01'], ['Bradley George', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-02-01'], ['Jahmiah Simmons', 'startMemberOf', 'BC Titebi', '2022-02-01']]
[['Kendall Jagdeosingh', 'startMemberOf', 'Oregon Ducks men\' s basketball', '2022-03-01'], ['Miles Davis', 'endMemberOf', 'Cal State Fullerton Titans men\' s basketball', '2022-03-01'], ['Jim Howell', 'startMemberOf', 'Northeastern Huskies men\' s basketball', '2022-03-01'], ['Deion Clark', 'startMemberOf', 'Radford Highlanders men\' s basketball', '2022-03-01']]
[['D U0027 Angalo Jackson', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-03-31'], ['Tom Moosmayer', 'endMemberOf', 'Gonzaga Bulldogs men\' s basketball', '2022-03-31'], ['Ryan Woolridge', 'endMemberOf', 'Gonzaga Bulldogs men\' s basketball', '2022-03-31'], ['Jason Thompson', 'endMemberOf', 'Antalya Büyükşehir Belediyesi', '2022-03-31']]
[['Mike Bedulskis', 'endMemberOf', 'UNC Asheville Bulldogs men\' s basketball', '2022-04-01'], ['David Thompson', 'endMemberOf', 'Santa Clara Broncos men\' s basketball', '2022-04-01'], ['Elias ( footballer, born 1983)', 'startMemberOf', 'Fundación Basket Mérida', '2022-04-01'], ['Luke Fabrizius', 'startMemberOf', 'BC Minsk', '2022-04-01']]
[['Kwasi Gyambibi', 'startMemberOf', 'Chicago Bulls', '2022-04-15'], ['Christopher Anderson', 'startMemberOf', 'Gipuzkoa Basket', '2022-04-15'], ['Derek Wheeler', 'endMemberOf', 'UC Santa Barbara Gauchos men\' s basketball', '2022-04-15'], ['Hasan Sönmez', 'endMemberOf', 'Panathinaikos V. C.', '2022-04-15']]
