[['Ruth Davis (basketball)', 'award', 'Pac-12 Conference Women\'s Basketball Player of the Year', '2015-01-01']]
[['Adam J. Jackson', 'startWorksFor', 'University of Bath', '2015-01-01']]
[['Zhen Li', 'startWorksFor', 'National Renewable Energy Laboratory', '2015-01-20']]
[['LaDontae Henton', 'startMemberOf', 'Real Betis Baloncesto', '2015-01-01']]
[['Guadalajara', 'startLeader', 'Enrique Alfaro Ramírez', '2015-01-10']]
[['Al Sah-Him', 'startContentLocation', 'Nanda Parbat', '2015-01-01']]
[['Vitor Júnior', 'startMemberOf', 'Navy F.C.', '2015-01-01']]
[['Denis Mukwege', 'startAcademicDegree', 'Doctorate', '2015-01-01']]
[['Almoez Ali', 'startMemberOf', 'FC Juniors OÖ', '2015-01-01']]
[['Haji Ahmadov', 'startMemberOf', 'Zira FK', '2015-01-01']]
[['Toby J. Blundell', 'startWorksFor', 'University of Nottingham', '2015-01-01']]
[['Mohamed Bendary', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Tre O\'Neal', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Willie le Roux', 'startMemberOf', 'Yokohama Canon Eagles', '2015-01-01']]
[['Luis Advíncula', 'startMemberOf', 'Bursaspor', '2015-01-01']]
[['Anna Yordanova', 'startWorksFor', 'University Hospital Bonn', '2015-01-01']]
[['Jennifer F. Lilieholm', 'startAcademicDegree', 'Bachelor of Arts', '2015-01-01']]
[['Mandal (municipality)', 'startLeader', 'Alf Erik Andersen', '2015-01-01']]
[['Linus Tholse', 'startMemberOf', 'Södertelge Vbk', '2015-01-01']]
[['Keelan Garrett', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Slavko Marić', 'startMemberOf', 'FC Dila Gori', '2015-01-01']]
[['Jian Gao', 'startWorksFor', 'Army Medical University', '2015-01-01']]
[['Blake Danielak', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Robyn Missa', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Viktor Lööv', 'startPlaysIn', 'National Hockey League', '2015-01-01']]
[['Sylviane Muller', 'award', 'Cnrs Innovation Medal', '2015-01-01']]
[['Saurabh Singh Thakur', 'startWorksFor', 'National Institute of Technology, Jamshedpur', '2015-01-01']]
[['Ministry of Social Development (Uruguay)', 'startLeader', 'Marina Arismendi', '2015-01-01']]
[['Michale Kyser', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Donald Djoussé', 'startMemberOf', 'Olimpia Grudziądz', '2015-01-01']]
[['Katherine Johnson', 'award', 'Presidential Medal of Freedom', '2015-01-01']]
[['Orkdal', 'startLeader', 'Oddbjørn Bang', '2015-01-01']]
[['Aitor Zubizarreta', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Deji Adekunle', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Jalen Manumaleuga', 'startMemberOf', 'Jackson State Tigers basketball', '2015-01-01']]
[['K. J. Lawson', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['George Green (footballer, born 1996)', 'startMemberOf', 'Tranmere Rovers F.C.', '2015-01-01']]
[['Luke Hyam', 'startMemberOf', 'Rotherham United F.C.', '2015-01-01']]
[['Celeste Barnes-Crouse', 'startAcademicDegree', 'Bachelor of Science', '2015-01-01']]
[['Pintu Patra', 'startWorksFor', 'Rice University', '2015-01-01']]
[['Dan Holman', 'startMemberOf', 'Dover Athletic F.C.', '2015-01-01']]
[['Connor Wheeler', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Jean-Marc Vallée', 'award', 'Governor General\'S Performing Arts Award', '2015-01-01']]
[['Megan Tyler-Plog', 'startAcademicDegree', 'Bachelor of Science', '2015-01-01']]
[['Faezeh Maleki', 'startWorksFor', 'National Institute For Genetic Engineering And Biotechnology', '2015-01-01']]
[['Nejc Potokar', 'startMemberOf', 'NK Slaven Belupo', '2015-01-01']]
[['Broken Arrow', 'startContentLocation', 'S.T.A.R. Labs', '2015-01-01']]
[['Mouhcine Iajour', 'startMemberOf', 'Qatar SC', '2015-01-01']]
[['Zouhair Feddal', 'startMemberOf', 'Levante UD', '2015-01-01']]
[['Derrell Taylor', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Vojtěch Mozík', 'startPlaysIn', 'National Hockey League', '2015-01-01']]
[['Natalie Klco', 'startAcademicDegree', 'Bachelor of Science', '2015-01-01']]
[['Sue Shon', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Noah Bramlage', 'startMemberOf', 'Princeton Tigers men\'s basketball', '2015-01-01']]
[['Meland', 'startLeader', 'Øyvind Helland Oddekalv', '2015-01-01']]
[['Neville Fincher', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Vikna', 'startLeader', 'Amund Hellesø', '2015-01-01']]
[['Edward Boyden', 'award', 'BBVA Foundation Frontiers of Knowledge Award', '2015-01-01']]
[['Karpe', 'award', 'Spellemann Award For The Videoclip Of L\'Any', '2015-01-01']]
[['Nick Allen', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Ousmane Drame', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Denis Levitsky', 'startMemberOf', 'FC Dnepr Mogilev', '2015-01-01']]
[['Jack Shaughnessy', 'startMemberOf', 'Seattle Redhawks men\'s basketball', '2015-01-01']]
[['Vitoria-Gasteiz', 'startLeader', 'Gorka Urtaran', '2015-01-01']]
[['Alan Flannigan', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Castor (rocket stage)', 'startManufacturer', 'Northrop Grumman Innovation Systems', '2015-01-01']]
[['Oli McBurnie', 'startMemberOf', 'Chester F.C.', '2015-01-01']]
[['Valentin Knünz', 'startWorksFor', 'CERN', '2015-01-01']]
[['Sara Juengst', 'endAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Pavel Sedko', 'startMemberOf', 'FC Dynamo Brest', '2015-01-01']]
[['Iago Aspas', 'startMemberOf', 'Sevilla FC', '2015-01-01']]
[['Arun Prasad Balasundaram', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Jennifer Long', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Celine Y Zimmerman', 'endWorksFor', 'Indiana University Bloomington', '2015-01-01']]
[['Seth Rouse', 'startMemberOf', 'Robert Morris Colonials men\'s basketball', '2015-01-01']]
[['General Council Of Hautes-Alpes', 'startLeader', 'Michel Roy', '2015-01-01']]
[['Travis Trim', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Ballangen', 'startLeader', 'Per Kristian Arntzen', '2015-01-01']]
[['Kris Brewer', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['The Fallen', 'startContentLocation', 'Star City (comics)', '2015-01-01']]
[['Tanner Clayton', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Tobias Moser', 'award', 'Leibniz Prize', '2015-01-01']]
[['Alexandre Erler', 'startWorksFor', 'Université de Montréal', '2015-01-13']]
[['Sai-Parng S Fung', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Kasper Larsen', 'startMemberOf', 'FC Astana', '2015-01-01']]
[['Leroy Cronin', 'award', 'Tilden Prize', '2015-01-01']]
[['Raúl Rojas', 'award', 'National Prize for Arts and Sciences (Mexico)', '2015-01-01']]
[['Stephen Leazer', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Sergine Athj', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
