startAcademicDegree,The subject entity started working through the degree specified by the object entity
endAcademicDegree,The subject entity obtained the degree specified by the object entity
startActor,The subject entity started having an actor specified by the object entity
endActor,The subject entity ended its association with the actor specified by the object entity
startAppearsIn,The subject entity started appearing in the creative work specified by the object entity
endAppearsIn,The subject entity no longer appears in the creative work specified by the object entity
startBeliefSystem,The subject entity started adhering to the belief system specified by the object entity
endBeliefSystem,The subject entity no longer adheres to the belief system specified by the object entity
startCandidateIn,The subject entity started a candidature in the object entity (an event)
endCapital,The subject entity no longer has the object entity for capital
startConferredBy,The subject entity started being conferred by the object entity
endConferredBy,The subject entity is no longer conferred by the object entity
startContentLocation,The subject entity started depicting or describing the location specified by the object entity
endContentLocation,The subject no longer depicts or describes the location specified by the object entity
startDirector,The subject entity's director started being the object entity
endDirector,The subject entity's director is no longer the object entity
startDoctoralAdvisor,The subject entity's started having the object entity as doctoral advisor
endDoctoralAdvisor,The subject entity's no longer has the object entity as doctoral advisor
startEditor,The subject entity started being edited by the person specified by the object entity
endEditor,The subject entity is no longer edited by the person specified by the object entity
startFlowsInto,The subject entity started flowing into the object entity
endFlowsInto,The subject entity no longer flows into the object entity
startGender,The subject entity started having the gender specified by the object entity
endGender,The subject entity no longer has the gender specified by the object entity
startInLanguage,The subject entity started being in the language specified by the object entity
endInLanguage,The subject entity is no longer in the language specified by the object entity
startLeader,The subject entity started being lead by the object entity
endLeader,The subject entity is no longer lead by the object entity
startLowestPoint,The subject entity (a location) started having the object entity as its lowest point
endLowestPoint,The subject entity (a location) stopped having the object entity as its lowest point
startManufacturer,The subject entity started being manufactured by the organization specified by the object entity
endManufacturer,The subject entity is no longer manufactured by the organization specified by the object entity
startMaterial,The subject entity started being made of the material specified by the object entity
endMaterial,The subject entity is no longer made of the material specified by the object entity
startMemberOf,The subject entity started being a member of the organization specified by the object entity
endMemberOf,The subject entity no longer is a member of the organization specified by the object entity
startMusicBy,The music of the subject entity started being composed by the object entity
endMusicBy,The music of the subject entity is no longer composed by the object entity
startNationality,The subject entity acquired the nationality specified by the object entity
endNationality,The subject entity lost the nationality specified by the object entity
startNotableWork,The subject entity started working on its its notable work specified by the object entity
endNotableWork,The subject entity no longer works on its notable work specified by the object entity
startOfficialLanguage,The subject entity (a country) started having the object entity as an official language
endOfficialLanguage,The subject entity (a country) stopped having the object entity as an official language
startOrganizer,The subject entity started being organized by the object entity
endOrganizer,The subject entity is no longer organized by the object entity
startOwnedBy,The subject entity started being owned by the object entity
endOwnedBy,The subject entity is no longer owned by the object entity
startOwns,The subject entity started owning the object entity
endOwns,The subject entity no longer owns the object entity
startParticipant,The subject entity started having a participant specified by the object entity
endParticipant,The subject entity no longer has a participant specified by the object entity
startPerformer,The subject entity started having a performer specified by the object entity
endPerformer,The subject entity no longer has a performer specified by the object entity
startPlaysIn,The subject entity started playing in the structure specified by the object entity
endPlaysIn,The subject entity no longer plays in the structure specified by the object entity
startProductionCompany,The subject entity started being produced by the organization specified by the object entity
endProductionCompany,The subject entity is not longer produced by the organization specified by the object entity
startPublisher,The subject entity started being published by the object entity
endPublisher,The subject entity is no longer published by the object entity
startRecordLabel,The subject artist or band started operating under the label specified by the object entity
endRecordLabel,The subject artist or band no longer operates under the label specifie by the object entity
startReplaces,The subject entity started replacing the object entity
endReplaces,The subject entity no longer replaces the object entity
startSponsor,The subject entity started being sponsored by the object entity
endSponsor,The subject entity is no longer sponsored by the object entity
startSportNumber,The subject entity's sport number started being the object entity
endSportNumber,The subject entity's sport number no longer is the object entity
startStudentOf,The subject entity started being a student of the object entity
endStudentOf,The subject entity no longer is a student of the object entity
startSuperEvent,The subject entity started being a sub-event of the object entity
endSuperEvent,The subject entity stopped being a sub-event of the object entity
startTerminus,The terminus of the subject entity started being the object entity
endTerminus,The terminus of the subject entity no longer is the object entity
startWorksFor,The subject entity started working for the organization specified by the object entity
endWorksFor,The subject entity no longer works for the organization specified by the object entity
award,The subject entity obtained the award specified by the object entity
children,The object entity is the child of the subject entity
follows,The subject entity (an event) follows the object entity (an event) in time
founder,The subject entity was founded by the object entity
influencedBy,The subject entity was influenced or inspired by the object entity
knowsLanguage,The subject entity (a person) knows the object entity (a language)
locationCreated,The subject entity was created at the object entity (a location)
lyricist,The subject entity's lyricist is the object entity
